context,dtype,block_size,method,cache_state,median_us,mean_us,p5_us,p95_us,std_us,measurements,ctas_per_sm,producer_warps,claim_scope,promotion_policy,threshold
16384,bf16,64,K1_full_sync,hot_l2,14.384000096470118,14.727232039906085,14.336000196635723,15.359999611973763,0.6291193199837093,1000,,,,,
16384,bf16,64,K1_full_sync,cold_rotating,25.599999353289604,25.112800050526857,24.57600086927414,25.599999353289604,0.591970298238384,1000,,,,,
32768,bf16,64,K1_full_sync,hot_l2,16.383999958634377,16.297663947567344,15.359999611973763,17.184000462293625,0.7277413724704385,1000,,,,,
32768,bf16,64,K1_full_sync,cold_rotating,33.79200026392937,33.37737613543868,32.76799991726875,33.79200026392937,0.5776645754950445,1000,,,,,
16384,bf16,64,K2_full_pipeline,hot_l2,16.383999958634377,16.394207945093513,15.359999611973763,17.27999933063984,0.5671527480746681,1000,2.0,0.0,,,
16384,bf16,64,K2_full_pipeline,cold_rotating,29.69600073993206,29.259136514738202,28.672000393271446,29.69600073993206,0.6111086120960684,1000,2.0,0.0,,,
32768,bf16,64,K2_full_pipeline,hot_l2,21.503999829292297,21.5860478579998,20.479999482631683,22.52800017595291,0.6366216001323965,1000,2.0,0.0,,,
32768,bf16,64,K2_full_pipeline,cold_rotating,45.05600035190582,45.36435245350003,43.007999658584595,48.128001391887665,1.3905856707382054,1000,2.0,0.0,,,
16384,bf16,64,K3_two_pass_precomputed,hot_l2,19.200000911951065,19.00064004212618,18.432000651955605,19.45599913597107,0.6454715356868584,1000,,,,,
16384,bf16,64,K3_two_pass_online_local,hot_l2,20.608000457286835,20.901759710162878,20.479999482631683,21.503999829292297,0.6999752120232173,1000,,,,,
16384,bf16,64,K3_two_pass_precomputed,cold_rotating,30.719999223947525,30.49791985936463,28.672000393271446,31.74399957060814,0.9669400264002431,1000,,,,,
16384,bf16,64,K3_two_pass_online_local,cold_rotating,32.76799991726875,32.32099176943302,30.719999223947525,33.79200026392937,0.8367877629664424,1000,,,,,
32768,bf16,64,K3_two_pass_precomputed,hot_l2,21.503999829292297,21.440831810235977,20.479999482631683,22.39999920129776,1.9722701442697987,1000,,,,,
32768,bf16,64,K3_two_pass_online_local,hot_l2,23.312000557780266,23.079808216542006,22.302400320768356,23.552000522613525,0.7658867870192374,1000,,,,,
32768,bf16,64,K3_two_pass_precomputed,cold_rotating,38.91199827194214,38.81081546843052,36.86400130391121,39.93599861860275,0.9943557080452795,1000,,,,,
32768,bf16,64,K3_two_pass_online_local,cold_rotating,40.95999896526337,41.17926298081875,39.93599861860275,41.98399931192398,5.75719870139165,1000,,,,,
16384,bf16,64,K4_fused_mask,hot_l2,16.383999958634377,16.408927951939404,15.456000342965126,17.24799908697605,0.5331474432989795,1000,,,DATAFLOW-ONLY / PRECOMPUTED-MASK,,
16384,bf16,64,K4_fused_mask,cold_rotating,27.648000046610832,27.957472153007984,27.648000046610832,28.672000393271446,0.5419811466486111,1000,,,DATAFLOW-ONLY / PRECOMPUTED-MASK,,
32768,bf16,64,K4_fused_mask,hot_l2,17.40800030529499,17.219392200931907,16.383999958634377,17.69760064780712,0.5965377720110785,1000,,,DATAFLOW-ONLY / PRECOMPUTED-MASK,,
32768,bf16,64,K4_fused_mask,cold_rotating,35.840000957250595,35.99868901073933,34.81600061058998,36.86400130391121,0.5190667289268861,1000,,,DATAFLOW-ONLY / PRECOMPUTED-MASK,,
16384,bf16,64,K5_fused_online_sync,hot_l2,16.3199994713068,16.15078394021839,15.359999611973763,16.513599082827568,0.536008217971061,1000,1.0,4.0,,validation_fixed_threshold,-1.7639244688110987
16384,bf16,64,K6_fused_online_pipeline,hot_l2,17.40800030529499,17.567488308995962,16.7663992382586,18.432000651955605,0.5753416933109289,1000,1.0,4.0,,validation_fixed_threshold,-1.7639244688110987
16384,bf16,64,K5_fused_online_sync,cold_rotating,26.623999699950218,26.72751973569393,25.599999353289604,27.648000046610832,0.5885703908945261,1000,1.0,4.0,,validation_fixed_threshold,-1.7639244688110987
16384,bf16,64,K6_fused_online_pipeline,cold_rotating,30.719999223947525,30.274303942918777,28.672000393271446,31.74399957060814,0.9425615887352606,1000,1.0,4.0,,validation_fixed_threshold,-1.7639244688110987
32768,bf16,64,K5_fused_online_sync,hot_l2,17.40800030529499,17.37408024072647,16.383999958634377,18.432000651955605,0.6457030600867579,1000,1.0,4.0,,validation_fixed_threshold,-1.7639244688110987
32768,bf16,64,K6_fused_online_pipeline,hot_l2,22.52800017595291,22.223520079627633,21.503999829292297,22.52800017595291,0.5286201700502352,1000,1.0,4.0,,validation_fixed_threshold,-1.7639244688110987
32768,bf16,64,K5_fused_online_sync,cold_rotating,34.81600061058998,34.69433657079935,33.79200026392937,35.840000957250595,0.5205436884060259,1000,1.0,4.0,,validation_fixed_threshold,-1.7639244688110987
32768,bf16,64,K6_fused_online_pipeline,cold_rotating,38.91199827194214,38.840031292289495,37.88800165057182,39.93599861860275,0.8609732977410911,1000,1.0,4.0,,validation_fixed_threshold,-1.7639244688110987
