context,variant,method,max_abs_error,mean_abs_error,top128_recall_vs_reference,rejected_all_negative_inf,passed
8192,0,K1_full_sync,5.7220458984375e-06,8.640781743451953e-07,1.0,True,True
8192,0,K2_full_pipeline,5.7220458984375e-06,8.640781743451953e-07,1.0,True,True
8192,0,K3_two_pass,5.7220458984375e-06,8.638245390102384e-07,1.0,True,True
8192,0,K4_fused_mask,5.7220458984375e-06,8.638245390102384e-07,1.0,True,True
8192,0,K6_fused_online,5.7220458984375e-06,8.646829314784554e-07,1.0,True,True
8192,1,K1_full_sync,2.86102294921875e-06,6.077207217458636e-07,1.0,True,True
8192,1,K2_full_pipeline,2.86102294921875e-06,6.077207217458636e-07,1.0,True,True
8192,1,K3_two_pass,2.86102294921875e-06,6.055466883481131e-07,1.0,True,True
8192,1,K4_fused_mask,2.86102294921875e-06,6.055466883481131e-07,1.0,True,True
8192,1,K6_fused_online,2.86102294921875e-06,6.04824720085162e-07,1.0,True,True
8192,2,K1_full_sync,2.86102294921875e-06,7.578200893476605e-07,1.0,True,True
8192,2,K2_full_pipeline,2.86102294921875e-06,7.578200893476605e-07,1.0,True,True
8192,2,K3_two_pass,2.86102294921875e-06,7.626004503435979e-07,1.0,True,True
8192,2,K4_fused_mask,2.86102294921875e-06,7.626004503435979e-07,1.0,True,True
8192,2,K6_fused_online,2.86102294921875e-06,7.662860070922761e-07,1.0,True,True
16384,0,K1_full_sync,4.76837158203125e-06,8.313295438711066e-07,1.0,True,True
16384,0,K2_full_pipeline,4.76837158203125e-06,8.313295438711066e-07,1.0,True,True
16384,0,K3_two_pass,4.76837158203125e-06,8.158490913956484e-07,1.0,True,True
16384,0,K4_fused_mask,4.76837158203125e-06,8.158490913956484e-07,1.0,True,True
16384,0,K6_fused_online,4.76837158203125e-06,8.248931067100784e-07,1.0,True,True
16384,1,K1_full_sync,2.86102294921875e-06,5.279471224639565e-07,1.0,True,True
16384,1,K2_full_pipeline,2.86102294921875e-06,5.279471224639565e-07,1.0,True,True
16384,1,K3_two_pass,2.86102294921875e-06,5.218527121542138e-07,1.0,True,True
16384,1,K4_fused_mask,2.86102294921875e-06,5.218527121542138e-07,1.0,True,True
16384,1,K6_fused_online,2.86102294921875e-06,5.27351062373782e-07,1.0,True,True
16384,2,K1_full_sync,3.814697265625e-06,6.796908564865589e-07,1.0,True,True
16384,2,K2_full_pipeline,3.814697265625e-06,6.796908564865589e-07,1.0,True,True
16384,2,K3_two_pass,3.814697265625e-06,6.73385841309937e-07,1.0,True,True
16384,2,K4_fused_mask,3.814697265625e-06,6.73385841309937e-07,1.0,True,True
16384,2,K6_fused_online,3.814697265625e-06,6.78985941249266e-07,1.0,True,True
32768,0,K1_full_sync,5.7220458984375e-06,1.012220309348777e-06,1.0,True,True
32768,0,K2_full_pipeline,5.7220458984375e-06,1.012220309348777e-06,1.0,True,True
32768,0,K3_two_pass,5.7220458984375e-06,1.0026246854977217e-06,1.0,True,True
32768,0,K4_fused_mask,5.7220458984375e-06,1.0026246854977217e-06,1.0,True,True
32768,0,K6_fused_online,5.7220458984375e-06,1.0257354006171227e-06,1.0,True,True
32768,1,K1_full_sync,2.86102294921875e-06,4.244623141858028e-07,1.0,True,True
32768,1,K2_full_pipeline,2.86102294921875e-06,4.244623141858028e-07,1.0,True,True
32768,1,K3_two_pass,2.86102294921875e-06,4.167185068126855e-07,1.0,True,True
32768,1,K4_fused_mask,2.86102294921875e-06,4.167185068126855e-07,1.0,True,True
32768,1,K6_fused_online,2.86102294921875e-06,4.258139369994751e-07,1.0,True,True
32768,2,K1_full_sync,2.86102294921875e-06,4.4694934331346303e-07,1.0,True,True
32768,2,K2_full_pipeline,2.86102294921875e-06,4.4694934331346303e-07,1.0,True,True
32768,2,K3_two_pass,2.86102294921875e-06,4.3747803601945634e-07,1.0,True,True
32768,2,K4_fused_mask,2.86102294921875e-06,4.3747803601945634e-07,1.0,True,True
32768,2,K6_fused_online,2.86102294921875e-06,4.46498717110444e-07,1.0,True,True
