context,dtype,block_size,method,cache_state,median_us,mean_us,p5_us,p95_us,std_us,measurements
8192,bf16,64,K1_full_sync,hot_l2,13.567999936640263,13.823039992712438,13.311999849975109,14.336000196635723,0.6568417456980435,1000
8192,bf16,64,K1_full_sync,cold_rotating,20.479999482631683,20.261887438595295,19.45599913597107,20.479999482631683,0.48171244773168265,1000
16384,bf16,64,K1_full_sync,hot_l2,14.384000096470118,14.727232039906085,14.336000196635723,15.359999611973763,0.6291193199837093,1000
16384,bf16,64,K1_full_sync,cold_rotating,25.599999353289604,25.112800050526857,24.57600086927414,25.599999353289604,0.591970298238384,1000
32768,bf16,64,K1_full_sync,hot_l2,16.383999958634377,16.297663947567344,15.359999611973763,17.184000462293625,0.7277413724704385,1000
32768,bf16,64,K1_full_sync,cold_rotating,33.79200026392937,33.37737613543868,32.76799991726875,33.79200026392937,0.5776645754950445,1000
65536,bf16,64,K1_full_sync,hot_l2,22.52800017595291,22.988032331690192,22.52800017595291,23.552000522613525,0.5626568160856587,1000
65536,bf16,64,K1_full_sync,cold_rotating,54.27199974656105,54.31129576265812,53.247999399900436,56.32000043988228,1.0166761562860425,1000
131072,bf16,64,K1_full_sync,hot_l2,35.840000957250595,35.71238491311669,34.81600061058998,36.86400130391121,0.9705091130502655,1000
131072,bf16,64,K1_full_sync,cold_rotating,90.11200070381165,89.46563249081373,86.01599931716919,92.16000139713287,1.698951487443497,1000
