context,dtype,block_size,method,cache_state,median_us,mean_us,p5_us,p95_us,std_us,measurements
8192,bf16,64,K3_two_pass_precomputed,hot_l2,17.40800030529499,17.525408186018467,17.216000705957413,18.303999677300453,0.6452674547585276,1000
8192,bf16,64,K3_two_pass_online_local,hot_l2,20.320000126957893,20.141983611509204,19.45599913597107,20.479999482631683,0.8696174178339993,1000
8192,bf16,64,K3_two_pass_precomputed,cold_rotating,25.599999353289604,26.13795162923634,24.57600086927414,26.623999699950218,5.59412718049721,1000
8192,bf16,64,K3_two_pass_online_local,cold_rotating,27.648000046610832,27.648384049534798,26.623999699950218,28.672000393271446,0.44322019446337263,1000
16384,bf16,64,K3_two_pass_precomputed,hot_l2,19.200000911951065,19.00064004212618,18.432000651955605,19.45599913597107,0.6454715356868584,1000
16384,bf16,64,K3_two_pass_online_local,hot_l2,20.608000457286835,20.901759710162878,20.479999482631683,21.503999829292297,0.6999752120232173,1000
16384,bf16,64,K3_two_pass_precomputed,cold_rotating,30.719999223947525,30.49791985936463,28.672000393271446,31.74399957060814,0.9669400264002431,1000
16384,bf16,64,K3_two_pass_online_local,cold_rotating,32.76799991726875,32.32099176943302,30.719999223947525,33.79200026392937,0.8367877629664424,1000
32768,bf16,64,K3_two_pass_precomputed,hot_l2,21.503999829292297,21.440831810235977,20.479999482631683,22.39999920129776,1.9722701442697987,1000
32768,bf16,64,K3_two_pass_online_local,hot_l2,23.312000557780266,23.079808216542006,22.302400320768356,23.552000522613525,0.7658867870192374,1000
32768,bf16,64,K3_two_pass_precomputed,cold_rotating,38.91199827194214,38.81081546843052,36.86400130391121,39.93599861860275,0.9943557080452795,1000
32768,bf16,64,K3_two_pass_online_local,cold_rotating,40.95999896526337,41.17926298081875,39.93599861860275,41.98399931192398,5.75719870139165,1000
