condition,pair,observations,pearson,spearman,spearman_sample_count
all,h8_vs_full,233826304,0.8912111719999136,0.918972342543477,195072
all,h8_vs_h56_residual,233826304,0.49382866074016124,0.6140508651044779,195072
all,previous_full_vs_current_full,233826304,0.8519555927503302,0.8943218655056865,195072
all,previous_full_vs_h56_residual,233826304,0.7322678509427138,0.7917720528433598,195072
near_top2048_threshold,h8_vs_full,6242304,0.8925739647808014,0.8985586731400507,195072
near_top2048_threshold,h8_vs_h56_residual,6242304,0.49953185060020205,0.5147180690120559,195072
near_top2048_threshold,previous_full_vs_current_full,6242304,0.8673544634019545,0.8743660339386365,195072
near_top2048_threshold,previous_full_vs_h56_residual,6242304,0.7525864390269018,0.7461650513250514,195072
newly_active,h8_vs_full,6691323,0.8956531338557718,0.9033696748630893,195072
newly_active,h8_vs_h56_residual,6691323,0.542395169020093,0.5498630551752783,195072
newly_active,previous_full_vs_current_full,6691323,0.8719717338587281,0.8943151604944624,195072
newly_active,previous_full_vs_h56_residual,6691323,0.7700998460809095,0.77125775723842,195072
temporal_cold,h8_vs_full,80155456,0.8684667084640915,0.8616085852302324,187088
temporal_cold,h8_vs_h56_residual,80155456,0.3634454175611648,0.3576730863245174,187088
temporal_cold,previous_full_vs_current_full,80155456,0.8046606141808337,0.8061937335297544,187088
temporal_cold,previous_full_vs_h56_residual,80155456,0.6491396824440528,0.6421222307598952,187088
temporal_hot,h8_vs_full,153670848,0.8974235012563844,0.9262506152001206,195072
temporal_hot,h8_vs_h56_residual,153670848,0.534510859716677,0.6490029028001698,195072
temporal_hot,previous_full_vs_current_full,153670848,0.8631953204338491,0.9090089489653539,195072
temporal_hot,previous_full_vs_h56_residual,153670848,0.7565890493305492,0.8151519433148322,195072
