sequence_length,scalar_dtype,bytes_per_scalar,previous_score_bytes_per_layer,previous_score_bytes_8_layers,bf16_indexer_k_bytes_per_layer,scalar_vs_indexer_k_fraction,full64_qk_macs_per_token,h8_qk_macs_per_token,pure_no_h56_qk_reduction,t1_scalar_flops_per_token,physical_k_bytes_read_per_token,physical_k_byte_reduction_claimed
16384,FP32,4,65536,524288,4194304,0.015625,8192,1024,0.875,5,256,0.0
16384,FP16/BF16,2,32768,262144,4194304,0.0078125,8192,1024,0.875,5,256,0.0
16384,INT16,2,32768,262144,4194304,0.0078125,8192,1024,0.875,5,256,0.0
32768,FP32,4,131072,1048576,8388608,0.015625,8192,1024,0.875,5,256,0.0
32768,FP16/BF16,2,65536,524288,8388608,0.0078125,8192,1024,0.875,5,256,0.0
32768,INT16,2,65536,524288,8388608,0.0078125,8192,1024,0.875,5,256,0.0
65536,FP32,4,262144,2097152,16777216,0.015625,8192,1024,0.875,5,256,0.0
65536,FP16/BF16,2,131072,1048576,16777216,0.0078125,8192,1024,0.875,5,256,0.0
65536,INT16,2,131072,1048576,16777216,0.0078125,8192,1024,0.875,5,256,0.0
131072,FP32,4,524288,4194304,33554432,0.015625,8192,1024,0.875,5,256,0.0
131072,FP16/BF16,2,262144,2097152,33554432,0.0078125,8192,1024,0.875,5,256,0.0
131072,INT16,2,262144,2097152,33554432,0.0078125,8192,1024,0.875,5,256,0.0
