split,scope,method,base_context_length,layer,workload,observations,qk_reduction,top2048_recall,top128_recall,top512_recall,weighted_recall,teacher_attention_mass_ratio
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,2,long-code,254,0.06027988242313337,0.9964301642470472,1.0,0.9999923105314961,0.9997573305321046,0.99993629588751
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,2,long-text,254,0.037497197299287195,0.9957938607283464,1.0,0.9999538631889764,0.9998736590951365,0.9999048837798125
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,5,long-code,254,0.10241575691107857,0.9931967427411418,1.0,0.9999923105314961,0.9995418781720278,0.9998992481514581
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,5,long-text,254,0.04260203256327506,0.9942540446604331,1.0,1.0,0.9996092907329194,0.9998775441411287
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,8,long-code,254,0.04560860054855588,0.9841577725147638,1.0,0.9999923105314961,0.9991020968357737,0.9996991135551684
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,8,long-text,254,0.025279085394112017,0.9961706446850394,1.0,1.0,0.9997259523908699,0.9999728185336165
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,11,long-code,254,0.04249314574254648,0.9947980745570866,1.0,1.0,0.9993444359588908,0.9999186175898501
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,11,long-text,254,0.03633300166668572,0.9942675012303149,1.0,1.0,0.9991896256537343,0.9998694227807997
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,14,long-code,254,0.04436099983066123,0.9910840612696851,1.0,0.9999846210629921,0.9987910125320593,0.9997090201014737
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,14,long-text,254,0.0283445909322363,0.9973778912401575,1.0,0.9999769315944882,0.9995804198590214,0.9999843375741093
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,8192,17,long-code,254,0.014653021375939905,0.9955516424704725,1.0,0.9999923105314961,0.9996339722351787,0.9998395430907424
