split,trace_file,source_capture,checkpoint,prompt_id,workload,layer,model_revision,base_context_length,decode_steps,score_rows,score_columns,length_rows,score_dtype
calibration,artifacts/pilot/indexers_1000/traces/code_validation_2_layer_02.npz,artifacts/pilot/quality_8k/code_validation_2/layer_02.pt,artifacts/pilot/indexers_1000/checkpoints/layer_02.safetensors,code_validation_2,long-code,2,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/code_validation_2_layer_05.npz,artifacts/pilot/quality_8k/code_validation_2/layer_05.pt,artifacts/pilot/indexers_1000/checkpoints/layer_05.safetensors,code_validation_2,long-code,5,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/code_validation_2_layer_08.npz,artifacts/pilot/quality_8k/code_validation_2/layer_08.pt,artifacts/pilot/indexers_1000/checkpoints/layer_08.safetensors,code_validation_2,long-code,8,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/code_validation_2_layer_11.npz,artifacts/pilot/quality_8k/code_validation_2/layer_11.pt,artifacts/pilot/indexers_1000/checkpoints/layer_11.safetensors,code_validation_2,long-code,11,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/code_validation_2_layer_14.npz,artifacts/pilot/quality_8k/code_validation_2/layer_14.pt,artifacts/pilot/indexers_1000/checkpoints/layer_14.safetensors,code_validation_2,long-code,14,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/code_validation_2_layer_17.npz,artifacts/pilot/quality_8k/code_validation_2/layer_17.pt,artifacts/pilot/indexers_1000/checkpoints/layer_17.safetensors,code_validation_2,long-code,17,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/code_validation_2_layer_21.npz,artifacts/pilot/quality_8k/code_validation_2/layer_21.pt,artifacts/pilot/indexers_1000/checkpoints/layer_21.safetensors,code_validation_2,long-code,21,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/code_validation_2_layer_25.npz,artifacts/pilot/quality_8k/code_validation_2/layer_25.pt,artifacts/pilot/indexers_1000/checkpoints/layer_25.safetensors,code_validation_2,long-code,25,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_2544_layer_02.npz,artifacts/pilot/quality_8k/text_validation_2544/layer_02.pt,artifacts/pilot/indexers_1000/checkpoints/layer_02.safetensors,text_validation_2544,long-text,2,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_2544_layer_05.npz,artifacts/pilot/quality_8k/text_validation_2544/layer_05.pt,artifacts/pilot/indexers_1000/checkpoints/layer_05.safetensors,text_validation_2544,long-text,5,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_2544_layer_08.npz,artifacts/pilot/quality_8k/text_validation_2544/layer_08.pt,artifacts/pilot/indexers_1000/checkpoints/layer_08.safetensors,text_validation_2544,long-text,8,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_2544_layer_11.npz,artifacts/pilot/quality_8k/text_validation_2544/layer_11.pt,artifacts/pilot/indexers_1000/checkpoints/layer_11.safetensors,text_validation_2544,long-text,11,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_2544_layer_14.npz,artifacts/pilot/quality_8k/text_validation_2544/layer_14.pt,artifacts/pilot/indexers_1000/checkpoints/layer_14.safetensors,text_validation_2544,long-text,14,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_2544_layer_17.npz,artifacts/pilot/quality_8k/text_validation_2544/layer_17.pt,artifacts/pilot/indexers_1000/checkpoints/layer_17.safetensors,text_validation_2544,long-text,17,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_2544_layer_21.npz,artifacts/pilot/quality_8k/text_validation_2544/layer_21.pt,artifacts/pilot/indexers_1000/checkpoints/layer_21.safetensors,text_validation_2544,long-text,21,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_2544_layer_25.npz,artifacts/pilot/quality_8k/text_validation_2544/layer_25.pt,artifacts/pilot/indexers_1000/checkpoints/layer_25.safetensors,text_validation_2544,long-text,25,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_25773_layer_02.npz,artifacts/pilot/quality_8k/text_validation_25773/layer_02.pt,artifacts/pilot/indexers_1000/checkpoints/layer_02.safetensors,text_validation_25773,long-text,2,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_25773_layer_05.npz,artifacts/pilot/quality_8k/text_validation_25773/layer_05.pt,artifacts/pilot/indexers_1000/checkpoints/layer_05.safetensors,text_validation_25773,long-text,5,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_25773_layer_08.npz,artifacts/pilot/quality_8k/text_validation_25773/layer_08.pt,artifacts/pilot/indexers_1000/checkpoints/layer_08.safetensors,text_validation_25773,long-text,8,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_25773_layer_11.npz,artifacts/pilot/quality_8k/text_validation_25773/layer_11.pt,artifacts/pilot/indexers_1000/checkpoints/layer_11.safetensors,text_validation_25773,long-text,11,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_25773_layer_14.npz,artifacts/pilot/quality_8k/text_validation_25773/layer_14.pt,artifacts/pilot/indexers_1000/checkpoints/layer_14.safetensors,text_validation_25773,long-text,14,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_25773_layer_17.npz,artifacts/pilot/quality_8k/text_validation_25773/layer_17.pt,artifacts/pilot/indexers_1000/checkpoints/layer_17.safetensors,text_validation_25773,long-text,17,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_25773_layer_21.npz,artifacts/pilot/quality_8k/text_validation_25773/layer_21.pt,artifacts/pilot/indexers_1000/checkpoints/layer_21.safetensors,text_validation_25773,long-text,21,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
calibration,artifacts/pilot/indexers_1000/traces/text_validation_25773_layer_25.npz,artifacts/pilot/quality_8k/text_validation_25773/layer_25.pt,artifacts/pilot/indexers_1000/checkpoints/layer_25.safetensors,text_validation_25773,long-text,25,85864749cd611b4353ce1decdb286193298f64c7,8192,64,64,8256,64,float16
test,artifacts/pilot/scores_a/traces/code_heldout_3_c8192_layer_02.npz,artifacts/pilot/trace_capture_8k/code_heldout_3/layer_02.pt,artifacts/pilot/indexers_1000/checkpoints/layer_02.safetensors,code_heldout_3,long-code,2,85864749cd611b4353ce1decdb286193298f64c7,8192,128,128,8320,128,float16
test,artifacts/pilot/scores_a/traces/code_heldout_3_c8192_layer_05.npz,artifacts/pilot/trace_capture_8k/code_heldout_3/layer_05.pt,artifacts/pilot/indexers_1000/checkpoints/layer_05.safetensors,code_heldout_3,long-code,5,85864749cd611b4353ce1decdb286193298f64c7,8192,128,128,8320,128,float16
test,artifacts/pilot/scores_a/traces/code_heldout_3_c8192_layer_08.npz,artifacts/pilot/trace_capture_8k/code_heldout_3/layer_08.pt,artifacts/pilot/indexers_1000/checkpoints/layer_08.safetensors,code_heldout_3,long-code,8,85864749cd611b4353ce1decdb286193298f64c7,8192,128,128,8320,128,float16
test,artifacts/pilot/scores_a/traces/code_heldout_3_c8192_layer_11.npz,artifacts/pilot/trace_capture_8k/code_heldout_3/layer_11.pt,artifacts/pilot/indexers_1000/checkpoints/layer_11.safetensors,code_heldout_3,long-code,11,85864749cd611b4353ce1decdb286193298f64c7,8192,128,128,8320,128,float16
