record_type,context,operation_order,operation_type,category,stage,short_name,launches_per_iteration,duration_us_first_iteration,gap_from_previous_us_first_iteration,active_duration_us_per_iteration,operation_count_per_iteration,prior_operation_count_per_iteration,status,path,sha256,notes
source,,,,,,,,,,,,,LOCKED,src/temporal_dsa/progressive_kernel.py,693dbbb1ed07aa615dd04cf38c33d69d29d3302b7c63789fdb825f1188cfde82,progressive kernel definitions
source,,,,,,,,,,,,,LOCKED,src/temporal_dsa/approx.py,3f4f4ef4b5bf588c35ebcd3d907d2cf5be96bccbab29a7b5672b606bef894e25,runtime-legal temporal replay
source,,,,,,,,,,,,,LOCKED,src/temporal_dsa/verifier.py,b1f86fd541e5f94ee973fc661838e44a7f480826a7e1d712764935b9142518b8,promotion verifier
source,,,,,,,,,,,,,LOCKED,src/temporal_dsa/verifier_scoring.py,8b1881cae9a4d6ad13e8c3a2e2b11060f69967a999f1f68e8fa636aa14ca2250,H8 scorer and encoder
source,,,,,,,,,,,,,LOCKED,scripts/benchmark_dsa_replay.py,6bd23617a3f5108bbda14f633584c58d3f0f50f1518b0fb2c5e209105ad72f5f,portable benchmark
source,,,,,,,,,,,,,LOCKED,scripts/build_l40s_replay_bundles.py,23b91dc11dde5ff435cd69d2cf51f6468bc9c65850dea683e9bb0fb9f9ba8e29,bundle builder
source,,,,,,,,,,,,,LOCKED,scripts/extract_full64_topk_nsight.py,307732c461758e6b5c77a7e7ac6baf43dbd9a138882fe5dfb8fba327ca061e5c,Nsight extractor
current_nsight_timeline,16384,1,kernel,score,Full64 score,_full_score_kernel,1,4.32,0.0,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_16k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,16384,2,kernel,topk_gather,final Top-K gather,gatherTopK,1,53.312,14.689,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_16k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,1,kernel,score,Full64 score,_full_score_kernel,1,7.424,0.0,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,2,kernel,topk_aux,initialize Top-K workspace,fill,1,0.832,16.512,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,3,memset,memset,Top-K workspace memset,cudaMemset,1,0.544,7.36,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,4,memset,memset,Top-K workspace memset,cudaMemset,1,0.416,3.712,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,5,kernel,topk_radix,radix digit histogram,computeBlockDigitCounts,1,1.92,6.24,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,6,kernel,topk_radix,radix digit cumulative sum,computeDigitCumSum,1,1.696,3.296,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,7,kernel,topk_count,blockwise within-K count,computeBlockwiseWithinKCounts,1,1.856,3.328,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,8,kernel,topk_radix,radix digit histogram,computeBlockDigitCounts,1,1.952,5.185,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,9,kernel,topk_radix,radix digit cumulative sum,computeDigitCumSum,1,1.728,3.328,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,10,kernel,topk_count,blockwise within-K count,computeBlockwiseWithinKCounts,1,1.888,3.328,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,11,kernel,topk_radix,radix digit histogram,computeBlockDigitCounts,1,1.888,3.616,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,12,kernel,topk_radix,radix digit cumulative sum,computeDigitCumSum,1,1.696,3.552,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,13,kernel,topk_count,blockwise within-K count,computeBlockwiseWithinKCounts,1,1.824,3.936,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,14,kernel,topk_radix,radix digit histogram,computeBlockDigitCounts,1,1.888,2.816,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,15,kernel,topk_radix,radix digit cumulative sum,computeDigitCumSum,1,1.728,2.912,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,16,kernel,topk_count,blockwise within-K count,computeBlockwiseWithinKCounts,1,1.856,3.808,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,17,kernel,topk_count,blockwise Kth count,computeBlockwiseKthCounts,1,1.152,3.488,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
