method_id,method,protocol,bundle,observation_index,observation_category,nominal_context,length,batch,query_length,heads,head_dimension,dtype,topk,block_size,warmup,measurements,flush_mib,fixed_input_addresses,preallocated_outputs,timed_region_explicit_output_allocations,gpu,torch,cuda,triton,q_data_ptr,k_data_ptr,full64_reference_max_abs,full64_reference_topk_recall,fused_vs_full_max_abs_on_candidates,fused_topk_recall_vs_runtime_full64,nominal_promotion_rate,reference_actual_promotion_rate,runtime_actual_promotion_rate,h8_reference_max_abs,t1_reference_max_abs,mean_us,median_us,p5_us,p95_us,min_us,std_us
L0,full64,warm-cache,dsa_replay_c16384_layer17_code_heldout_3.pt,2,near_threshold,16384,16449,1,1,64,128,bfloat16,2048,64,200,2000,0,True,True,0,NVIDIA L40S,2.11.0+cu130,13.0,3.6.0,0x7f92a4e00000,0x7f928a000000,0.012453556060791016,0.9990234375,9.5367431640625e-07,0.998046875,0.1,0.4634146341463415,0.4634146341463415,0.011538505554199219,0.01230001449584961,27.952639928087592,27.615999802947044,25.599999353289604,31.74399957060814,24.57600086927414,4.860695224278026
L0,full64,cache-flush,dsa_replay_c16384_layer17_code_heldout_3.pt,2,near_threshold,16384,16449,1,1,64,128,bfloat16,2048,64,200,2000,64,True,True,0,NVIDIA L40S,2.11.0+cu130,13.0,3.6.0,0x7f92a4e00000,0x7f928a000000,0.012453556060791016,0.9990234375,9.5367431640625e-07,0.998046875,0.1,0.4634146341463415,0.4634146341463415,0.011538505554199219,0.01230001449584961,15.20515201240778,14.336000196635723,12.512000277638435,18.432000651955605,11.552000418305397,16.35395740335851
L1,topk_only,warm-cache,dsa_replay_c16384_layer17_code_heldout_3.pt,2,near_threshold,16384,16449,1,1,64,128,bfloat16,2048,64,200,2000,0,True,True,0,NVIDIA L40S,2.11.0+cu130,13.0,3.6.0,0x7f92a4e00000,0x7f928a000000,0.012453556060791016,0.9990234375,9.5367431640625e-07,0.998046875,0.1,0.4634146341463415,0.4634146341463415,0.011538505554199219,0.01230001449584961,73.41616240888834,72.7040022611618,72.7040022611618,73.72800260782242,72.7040022611618,6.554757466332072
L1,topk_only,cache-flush,dsa_replay_c16384_layer17_code_heldout_3.pt,2,near_threshold,16384,16449,1,1,64,128,bfloat16,2048,64,200,2000,64,True,True,0,NVIDIA L40S,2.11.0+cu130,13.0,3.6.0,0x7f92a4e00000,0x7f928a000000,0.012453556060791016,0.9990234375,9.5367431640625e-07,0.998046875,0.1,0.4634146341463415,0.4634146341463415,0.011538505554199219,0.01230001449584961,73.32363447546959,73.72800260782242,72.7040022611618,73.72800260782242,72.7040022611618,0.5066899870529243
L2,full64_topk,warm-cache,dsa_replay_c16384_layer17_code_heldout_3.pt,2,near_threshold,16384,16449,1,1,64,128,bfloat16,2048,64,200,2000,0,True,True,0,NVIDIA L40S,2.11.0+cu130,13.0,3.6.0,0x7f92a4e00000,0x7f928a000000,0.012453556060791016,0.9990234375,9.5367431640625e-07,0.998046875,0.1,0.4634146341463415,0.4634146341463415,0.011538505554199219,0.01230001449584961,61.10844758525491,61.43999844789505,60.416001826524734,61.43999844789505,60.416001826524734,0.8860639145764478
L2,full64_topk,cache-flush,dsa_replay_c16384_layer17_code_heldout_3.pt,2,near_threshold,16384,16449,1,1,64,128,bfloat16,2048,64,200,2000,64,True,True,0,NVIDIA L40S,2.11.0+cu130,13.0,3.6.0,0x7f92a4e00000,0x7f928a000000,0.012453556060791016,0.9990234375,9.5367431640625e-07,0.998046875,0.1,0.4634146341463415,0.4634146341463415,0.011538505554199219,0.01230001449584961,61.13769547082484,61.43999844789505,60.416001826524734,61.43999844789505,60.416001826524734,0.823299637865748
L3,h8,warm-cache,dsa_replay_c16384_layer17_code_heldout_3.pt,2,near_threshold,16384,16449,1,1,64,128,bfloat16,2048,64,200,2000,0,True,True,0,NVIDIA L40S,2.11.0+cu130,13.0,3.6.0,0x7f92a4e00000,0x7f928a000000,0.012453556060791016,0.9990234375,9.5367431640625e-07,0.998046875,0.1,0.4634146341463415,0.4634146341463415,0.011538505554199219,0.01230001449584961,28.75032020546496,28.672000393271446,27.648000046610832,29.69600073993206,26.623999699950218,1.291808892147071
L3,h8,cache-flush,dsa_replay_c16384_layer17_code_heldout_3.pt,2,near_threshold,16384,16449,1,1,64,128,bfloat16,2048,64,200,2000,64,True,True,0,NVIDIA L40S,2.11.0+cu130,13.0,3.6.0,0x7f92a4e00000,0x7f928a000000,0.012453556060791016,0.9990234375,9.5367431640625e-07,0.998046875,0.1,0.4634146341463415,0.4634146341463415,0.011538505554199219,0.01230001449584961,17.265488045755774,16.543999314308167,15.359999611973763,22.283200081437815,14.336000196635723,2.0633844676340396
L4,progressive_h8,warm-cache,dsa_replay_c16384_layer17_code_heldout_3.pt,2,near_threshold,16384,16449,1,1,64,128,bfloat16,2048,64,200,2000,0,True,True,0,NVIDIA L40S,2.11.0+cu130,13.0,3.6.0,0x7f92a4e00000,0x7f928a000000,0.012453556060791016,0.9990234375,9.5367431640625e-07,0.998046875,0.1,0.4634146341463415,0.4634146341463415,0.011538505554199219,0.01230001449584961,69.42174476385117,68.60800087451935,66.46399945020676,75.77600330114365,64.54399973154068,7.135933917609211
L4,progressive_h8,cache-flush,dsa_replay_c16384_layer17_code_heldout_3.pt,2,near_threshold,16384,16449,1,1,64,128,bfloat16,2048,64,200,2000,64,True,True,0,NVIDIA L40S,2.11.0+cu130,13.0,3.6.0,0x7f92a4e00000,0x7f928a000000,0.012453556060791016,0.9990234375,9.5367431640625e-07,0.998046875,0.1,0.4634146341463415,0.4634146341463415,0.011538505554199219,0.01230001449584961,57.771424463018775,57.34400078654289,55.39040081202984,62.46719881892204,54.27199974656105,2.858008058327913
