category,artifact,path,exists,file_count,bytes,sha256,content,scope,protocol,status
score,Full64 score traces,artifacts/pilot/scores_b/traces,True,72,278445713,directory; see member artifacts,"scores[Q,N] FP16, lengths, source metadata",held-out real traces,exact stored Full64,LOCKED
verifier,Dynamic H8 IDs and scores,artifacts/h8_reconstruction/cache/test,True,96,825612848,directory; see member artifacts,"h8 FP32, rho, head_ids[Q,8], lengths",96 test traces,dynamic stable |w| Top8,LOCKED
temporal,Prior temporal selection details,artifacts/progressive_threshold/selection_details,True,1728,1994503378,directory; see member artifacts,"approximate, baseline stable Top-2048, rescued_blocks; no direct mask stored",selected fixed-threshold replay,masks reproducible from score+policy; now sealed in bundles,LOCKED
temporal,Temporal policy selection,artifacts/progressive_sw/prior_approx/selected_policies.json,True,1,1083,fb9307dde86b5c090e8afdbb2d0219d266a3f0123c68b25e61264346c38c6c46,streak2_bucket8_m0 and gamma scale,runtime-legal policy,"gamma=0, cold_streak=2, bucket8",LOCKED
promotion,B64 thresholds,artifacts/progressive_sw/threshold/runtime_config.json,True,1,682,eff678f5d13aebbc3b7bf03bc6ada48f1a9be8da79f15e662e5d4bb546d257af,"block size, H8 width, layer thresholds",validation-calibrated,fixed-threshold production/runtime-legal,LOCKED
promotion,Promotion replay rows,artifacts/progressive_sw/threshold/threshold_replay_rows.csv,True,1,111202627,e8c447428e13942f5e959968376489f3fe29ee486a89bef0ba04682ee256026f,nominal/actual promotion and B64 replay metrics,"18,288 held-out transitions per scheme",fixed-threshold,LOCKED
quality,Selected promotion quality,artifacts/progressive_sw/threshold/promotion_quality.csv,True,1,3447,94ccfd8595e8f09577f4b06d7b564fc83f6bba4fa8c58bbc61763dd180bf65c2,"QK reduction, Top-K and newly-active recall",selected dynamic H8,fixed-threshold,LOCKED
quality,H8+10% H56 and T1 results,artifacts/h8_reconstruction/final/main_results.csv,True,1,2232,fd78999b3bde4fe3035954b4a13c9da589ef649ad55bc2ccf1c2cf63f7ce0717,ranking plus available MLA/KL/PPL status,96 held-out traces,existing locked evaluation,LOCKED
reconstruction,T1 coefficients,artifacts/h8_reconstruction/final/coefficients.json,True,1,9587,789c1493942216cf68511bdd183dccb837ad0ff095549cdbb90123b5843a5bfb,per-layer current-H8 + previous-Full64 affine coefficients,calibration-only fit,checkpoint-independent coefficients,LOCKED
quality,MLA output lock,artifacts/progressive_sw/mla/mla_output_summary.csv,True,1,5909,3723f11e12f1fa3d12c0796c9360358ba00e2fade8b9702d48d7c5048b51c2ec,RelL2 p95/p99 and cosine,selected fixed-threshold H8,existing GPU replay,LOCKED
quality,Teacher-forced lock,artifacts/progressive_sw/final/teacher_forced_quality.csv,True,1,646,6a12fb9682245b8b990ac9e34288038ee302e4be6852f44be5dc43aa1f64606a,logit KL and PPL delta,384 tokens,existing GPU replay,LOCKED
quality,Closed-loop lock,artifacts/progressive_sw/closed_loop/closed_loop_summary.json,True,1,1063,e8dee5aa1c21eb40383495f9e26d101432dfe25f8cde4d946479c39fc5395fe2,"agreement, first divergence, NIAH success",15 existing probes,no rerun,LOCKED
latency,Prior Full64 timing,artifacts/progressive_sw/final/full_baseline_timing.csv,True,1,32112,427685ad3af29729b331fe8595e3794c3205acbd0cd08b42ec7b93ccc6595fbe,CUDA-event Full64 and Full64+Top-K,8K/16K/32K,"50 warmup, 500 measure, 64 MiB flush, 3 rotations",LOCKED
latency,Prior fused progressive timing,artifacts/progressive_sw/final/fused_progressive_timing.csv,True,1,51065,f9a16766dd5bd630a67268942b51b91217d61cbb57fd4c5fd682b8a4a18d935c,CUDA-event fused dense/compact and Top-K,8K/16K/32K,global-budget performance emulation,LOCKED
nsight,Prior Nsight 16K/32K reports,artifacts/progressive_nsight,True,13,12026952,directory; see member artifacts,Nsight Systems reports/sqlite,prior torch 2.9.1 path,100 representative iterations,LOCKED
replay,Portable DSA replay bundles,artifacts/l40s_dsa_lock/replay_bundles,True,3,18741303,directory; see member artifacts,"Q/K/w, H8 IDs, masks, scores, stable Top-2048","3 real contexts, 10 observations",checkpoint-independent runtime,LOCKED
