bundle,bundle_sha256,schema_version,model_revision,prompt_id,workload,split,layer,nominal_context,observation_index,category,step,length,previous_length,temporal_exact_tokens,temporal_block_any_count,promoted_block_count,exact_candidate_count,exact,recall,newly_active_tokens,tail_newly_active_tokens,nearest_promotion_threshold_gap
dsa_replay_c8192_layer17_code_heldout_3.pt,df538579abd35e40aba686cf422234ef8619548183602bcd8832873dc1d89ce8,dsa-replay-v1,85864749cd611b4353ce1decdb286193298f64c7,code_heldout_3,long-code,heldout,17,8192,0,easy,1,8194,8193,8194,129,0,8194,1.0,1.0,0.0,0.0,inf
dsa_replay_c8192_layer17_code_heldout_3.pt,df538579abd35e40aba686cf422234ef8619548183602bcd8832873dc1d89ce8,dsa-replay-v1,85864749cd611b4353ce1decdb286193298f64c7,code_heldout_3,long-code,heldout,17,8192,1,newly_active,15,8208,8207,7696,121,8,8208,1.0,1.0,65.0,0.0,0.638863205909729
dsa_replay_c8192_layer17_code_heldout_3.pt,df538579abd35e40aba686cf422234ef8619548183602bcd8832873dc1d89ce8,dsa-replay-v1,85864749cd611b4353ce1decdb286193298f64c7,code_heldout_3,long-code,heldout,17,8192,2,near_threshold,92,8285,8284,7965,125,1,8029,0.0,0.99755859375,6.0,0.0,0.0007252693176269531
dsa_replay_c16384_layer17_code_heldout_3.pt,4da2939a6dd142c4f08db85f236c7012c512cf1b0f38fe9f64d021be689d9308,dsa-replay-v1,85864749cd611b4353ce1decdb286193298f64c7,code_heldout_3,long-code,heldout,17,16384,0,easy,1,16386,16385,16386,257,0,16386,1.0,1.0,0.0,0.0,inf
dsa_replay_c16384_layer17_code_heldout_3.pt,4da2939a6dd142c4f08db85f236c7012c512cf1b0f38fe9f64d021be689d9308,dsa-replay-v1,85864749cd611b4353ce1decdb286193298f64c7,code_heldout_3,long-code,heldout,17,16384,1,newly_active,45,16430,16429,10606,166,26,12270,0.0,0.982421875,122.0,34.0,0.002953648567199707
dsa_replay_c16384_layer17_code_heldout_3.pt,4da2939a6dd142c4f08db85f236c7012c512cf1b0f38fe9f64d021be689d9308,dsa-replay-v1,85864749cd611b4353ce1decdb286193298f64c7,code_heldout_3,long-code,heldout,17,16384,2,near_threshold,64,16449,16448,11201,176,38,13633,0.0,0.998046875,19.0,8.0,0.0005803108215332031
dsa_replay_c32768_layer17_code_heldout_3.pt,f5530e24a30ffbb4c60b24c2c269fcf0fb23547ba742ccaf51e573cf88cbf045,dsa-replay-v1,85864749cd611b4353ce1decdb286193298f64c7,code_heldout_3,long-code,heldout,17,32768,0,easy,1,32770,32769,32770,513,0,32770,1.0,1.0,0.0,0.0,inf
dsa_replay_c32768_layer17_code_heldout_3.pt,f5530e24a30ffbb4c60b24c2c269fcf0fb23547ba742ccaf51e573cf88cbf045,dsa-replay-v1,85864749cd611b4353ce1decdb286193298f64c7,code_heldout_3,long-code,heldout,17,32768,1,newly_active,56,32825,32824,17337,271,33,19449,0.0,0.93408203125,241.0,49.0,0.0014542341232299805
dsa_replay_c32768_layer17_code_heldout_3.pt,f5530e24a30ffbb4c60b24c2c269fcf0fb23547ba742ccaf51e573cf88cbf045,dsa-replay-v1,85864749cd611b4353ce1decdb286193298f64c7,code_heldout_3,long-code,heldout,17,32768,2,near_threshold,116,32885,32884,20661,323,2,20789,0.0,0.9892578125,24.0,4.0,0.0001875162124633789
dsa_replay_c32768_layer17_code_heldout_3.pt,f5530e24a30ffbb4c60b24c2c269fcf0fb23547ba742ccaf51e573cf88cbf045,dsa-replay-v1,85864749cd611b4353ce1decdb286193298f64c7,code_heldout_3,long-code,heldout,17,32768,3,32k_tail,105,32874,32873,19946,312,19,21162,0.0,0.93896484375,191.0,60.0,0.01726853847503662
