method,context,mask_head_select_ms,verifier_ms,compaction_ms,full_rerank_ms,topk_ms,total_measured_ms,total_with_dynamic_head_select_ms,logical_launches,nsight_gpu_ops_per_iteration
Full optimized,8192,0.0,0.0,0.0,0.0,0.0348160006105899,0.0407840013504028,0.0407840013504028,2,2.0
H8 two-pass,8192,0.0156000000424683,0.0157120004296302,0.0081919999793171,0.0141439996659755,0.0348160006105899,0.089088000357151,0.1046880003996193,5,5.0
Fused progressive,8192,0.0156000000424683,0.0204799994826316,0.0,0.0,0.0348160006105899,0.0624639987945556,0.0780639988370239,2,2.0
Fused compact,8192,0.0156000000424683,0.03580800071358681,0.008160002529621103,0.0,0.0348160006105899,0.0706240013241767,0.086224001366645,3,3.0
Full optimized,16384,0.0,0.0,0.0,0.0,0.0583200007677078,0.0634879991412162,0.0634879991412162,2,2.0
H8 two-pass,16384,0.012288000434637,0.0163679998368024,0.0063999998383224,0.0140159996226429,0.0583200007677078,0.0849919989705085,0.0972799994051455,5,5.0
Fused progressive,16384,0.012288000434637,0.0204799994826316,0.0,0.0,0.0583200007677078,0.0706560015678405,0.08294400200247751,2,2.0
Fused compact,16384,0.012288000434637,0.01998399943113329,0.0,0.0,0.0481280013918876,0.0681120008230209,0.0804000012576579,3,3.0
Full optimized,32768,0.0,0.0,0.0,0.0,0.0635839998722076,0.0870399996638298,0.0870399996638298,2,18.0
H8 two-pass,32768,0.012288000434637,0.0155840003862977,0.0071040000766515,0.0133119998499751,0.0635839998722076,0.1341439932584762,0.14643199369311322,5,21.0
Fused progressive,32768,0.012288000434637,0.0204799994826316,0.0,0.0,0.0635839998722076,0.1046079993247985,0.1168959997594355,2,18.0
Fused compact,32768,0.012288000434637,0.0453760027885437,0.014144003391265897,0.0,0.0733759999275207,0.1187520027160644,0.1310400031507014,3,19.0
