context,layer,method,scope,block_size,promotion_target,topk,warmup,measurements,kernel_launches,median_ms,p5_ms,p95_ms,mean_ms,std_ms
8192,17,two_pass_kernel,kernel,32,0.05,512,50,500,4,0.0635519996285438,0.0624639987945556,0.0708592027425765,0.0648079354912042,0.0045320882275182
8192,17,two_pass_plus_topk,indexer_topk,32,0.05,512,50,500,5,0.0911360010504722,0.0870399996638298,0.0962608028203249,0.0913518727868795,0.0039484836948565
8192,17,two_pass_kernel,kernel,32,0.05,1024,50,500,4,0.0634879991412162,0.0612192006781697,0.0696320012211799,0.0690111997947096,0.0998726640217603
8192,17,two_pass_plus_topk,indexer_topk,32,0.05,1024,50,500,5,0.089088000357151,0.0829439982771873,0.0983040034770965,0.0903458564132452,0.0061256426208748
8192,17,two_pass_kernel,kernel,32,0.05,2048,50,500,4,0.0624639987945556,0.0605119988322258,0.0655055996030569,0.0630847993344068,0.0046536661228071
8192,17,two_pass_plus_topk,indexer_topk,32,0.05,2048,50,500,5,0.0921600013971328,0.0829439982771873,0.096262402459979,0.0905678085684776,0.0052828035821285
8192,17,two_pass_kernel,kernel,32,0.1,512,50,500,4,0.0624639987945556,0.0613120011985302,0.0668240018188953,0.063217087328434,0.0030136122627321
8192,17,two_pass_plus_topk,indexer_topk,32,0.1,512,50,500,5,0.0901120007038116,0.0870399996638298,0.0942128021270036,0.090590016618371,0.0032217575445645
8192,17,two_pass_kernel,kernel,32,0.1,1024,50,500,4,0.0634879991412162,0.061439998447895,0.0665728002786636,0.0696872313544154,0.1270532929329276
8192,17,two_pass_plus_topk,indexer_topk,32,0.1,1024,50,500,5,0.090048000216484,0.0829439982771873,0.0983695965260267,0.0906913283467292,0.0060704475545606
8192,17,two_pass_kernel,kernel,32,0.1,2048,50,500,4,0.0624639987945556,0.0605743993073701,0.0653119981288909,0.0663265912905335,0.0778871477789141
8192,17,two_pass_plus_topk,indexer_topk,32,0.1,2048,50,500,5,0.0921600013971328,0.0829439982771873,0.0971888024359941,0.0905829125940799,0.0051961384634116
8192,17,two_pass_kernel,kernel,32,0.15,512,50,500,4,0.0624639987945556,0.0604160018265247,0.065540799871087,0.0630247033163905,0.0038315124308713
8192,17,two_pass_plus_topk,indexer_topk,32,0.15,512,50,500,5,0.089088000357151,0.0870399996638298,0.0942464020103215,0.0900522884577512,0.0032712023513111
8192,17,two_pass_kernel,kernel,32,0.15,1024,50,500,4,0.0624639987945556,0.0612144004553556,0.0655359998345375,0.0628629113063216,0.0023408007667857
8192,17,two_pass_plus_topk,indexer_topk,32,0.15,1024,50,500,5,0.0911840014159679,0.0829439982771873,0.0973200030624866,0.0903113604635,0.0051267585149762
8192,17,two_pass_kernel,kernel,32,0.15,2048,50,500,4,0.061439998447895,0.0593920014798641,0.0645119994878768,0.0617479677721858,0.0024589560342613
8192,17,two_pass_plus_topk,indexer_topk,32,0.15,2048,50,500,5,0.0900960005819797,0.0829439982771873,0.0975743979215621,0.0905072004497051,0.0055899325879232
8192,17,two_pass_kernel,kernel,32,0.2,512,50,500,4,0.061439998447895,0.0604160018265247,0.0645119994878768,0.0619900155887007,0.0025832403795462
8192,17,two_pass_plus_topk,indexer_topk,32,0.2,512,50,500,5,0.0901120007038116,0.0829439982771873,0.0952320024371147,0.0897109123021364,0.004824667933298
8192,17,two_pass_kernel,kernel,32,0.2,1024,50,500,4,0.061439998447895,0.0603520013391971,0.0675840005278587,0.0654406397119164,0.0612534904572665
8192,17,two_pass_plus_topk,indexer_topk,32,0.2,1024,50,500,5,0.089088000357151,0.0839679986238479,0.0943376027047633,0.0894618242233991,0.0043202774769045
8192,17,two_pass_kernel,kernel,32,0.2,2048,50,500,4,0.061439998447895,0.0593920014798641,0.0654751993715763,0.061942847803235,0.0034687048270074
8192,17,two_pass_plus_topk,indexer_topk,32,0.2,2048,50,500,5,0.0880640000104904,0.0829439982771873,0.0962560027837753,0.0894085122048854,0.0050585608632356
8192,17,two_pass_kernel,kernel,64,0.05,512,50,500,4,0.0615039989352226,0.0603824015706777,0.0645791999995708,0.0622802554666996,0.0031319463611087
8192,17,two_pass_plus_topk,indexer_topk,64,0.05,512,50,500,5,0.0880640000104904,0.0850863996893167,0.0952416021376848,0.0895464963763952,0.0038921601723553
8192,17,two_pass_kernel,kernel,64,0.05,1024,50,500,4,0.061439998447895,0.0595503989607095,0.0637792009860276,0.0618223356455564,0.0025348212140248
8192,17,two_pass_plus_topk,indexer_topk,64,0.05,1024,50,500,5,0.0911360010504722,0.0839679986238479,0.0983552031219005,0.091048576593399,0.0046509497815782
8192,17,two_pass_kernel,kernel,64,0.05,2048,50,500,4,0.061439998447895,0.0593920014798641,0.0643903985619545,0.0615247999355196,0.0025096657042084
8192,17,two_pass_plus_topk,indexer_topk,64,0.05,2048,50,500,5,0.0898559987545013,0.0829439982771873,0.0932848017662762,0.0889089280217886,0.0050848186338247
8192,17,two_pass_kernel,kernel,64,0.1,512,50,500,4,0.0604160018265247,0.0586223993450403,0.0625327993184328,0.060930432356894,0.0033062943863881
8192,17,two_pass_plus_topk,indexer_topk,64,0.1,512,50,500,5,0.0878399983048439,0.0849919989705085,0.0954272035509347,0.0896720003485679,0.0049841487370214
