system,context,mode,scores_per_cycle,requested_admission_lanes,effective_admission_lanes,candidate_sram_banks,frequency_mhz,memory_bandwidth_gbps,mean_heap_admissions,mean_candidate_admissions_per_cycle,admission_source,score_compute_cycles,k_memory_cycles,heap_update_cycles,drain_cycles,total_cycles,latency_us,speedup_vs_gpu,selector_latency_us,topk_speedup_vs_gpu,stall_percentage,sustained_scores_per_cycle,threshold_comparators,heap_pipeline_comparators,total_comparator_units,full64_bf16_mac_lanes,dsp58_fraction_if_1_bf16_mac_per_dsp,onchip_sram_bytes,required_fifo_entries_p99,pipeline_depth_cycles,offchip_indexer_k_bytes,offchip_dense_score_bytes,exact,model_limit
FPGA conservative HW-A,8192,cold,1,1,1,2,400,256,3943.901738845144,0.4814333177301201,TRACE-MEASURED ADMISSION/FIFO,8192,3277,3944,11,8203,20.5075,1.9887358942046955,20.5075,1.6977203759887796,0.0,1.0,1,11,12,8192,0.5707915273132664,34992,0,11,2097152,0,True,one-admission/cycle/lane pipelined heap and SRAM hazard handling require RTL-level validation
FPGA conservative HW-A,16384,cold,1,1,1,2,400,256,2883.8436679790025,0.17601584887567154,TRACE-MEASURED ADMISSION/FIFO,16384,6554,2884,11,16395,40.9875,1.5489600278430302,40.9875,1.4228728458117181,0.0,1.0,1,11,12,8192,0.5707915273132664,34992,0,11,4194304,0,True,one-admission/cycle/lane pipelined heap and SRAM hazard handling require RTL-level validation
FPGA conservative HW-A,32768,cold,1,1,1,2,400,256,4834.198326771653,0.1475280251089982,TRACE-MEASURED ADMISSION/FIFO,32768,13108,4835,11,32779,81.9475,1.0621434413963793,81.9475,0.7759114051338674,0.0,1.0,1,11,12,8192,0.5707915273132664,34992,0,11,8388608,0,True,one-admission/cycle/lane pipelined heap and SRAM hazard handling require RTL-level validation
FPGA conservative HW-A,65536,cold,1,1,1,2,400,256,9668.396653543306,0.1475280251089982,ANALYTICAL RATE EXTRAPOLATION FROM 32K,65536,26215,9669,11,65547,163.8675,0.9135185434596121,163.8675,0.776041617431249,0.0,1.0,1,11,12,8192,0.5707915273132664,36816,484,11,16777216,0,True,one-admission/cycle/lane pipelined heap and SRAM hazard handling require RTL-level validation
FPGA conservative HW-B,8192,warm,1,1,1,2,400,256,740.7695209973754,0.09042596691862492,TRACE-MEASURED ADMISSION/FIFO,8192,3277,741,11,8203,20.5075,1.9887358942046955,20.5075,1.6977203759887796,0.0,1.0,1,11,12,8192,0.5707915273132664,43184,0,11,2097152,0,True,one-admission/cycle/lane pipelined heap and SRAM hazard handling require RTL-level validation
FPGA conservative HW-B,16384,warm,1,1,1,2,400,256,947.873687664042,0.0578536186318385,TRACE-MEASURED ADMISSION/FIFO,16384,6554,948,11,16395,40.9875,1.5489600278430302,40.9875,1.4228728458117181,0.0,1.0,1,11,12,8192,0.5707915273132664,43184,0,11,4194304,0,True,one-admission/cycle/lane pipelined heap and SRAM hazard handling require RTL-level validation
FPGA conservative HW-B,32768,warm,1,1,1,2,400,256,1401.9178149606298,0.042783136442890314,TRACE-MEASURED ADMISSION/FIFO,32768,13108,1402,11,32779,81.9475,1.0621434413963793,81.9475,0.7759114051338674,0.0,1.0,1,11,12,8192,0.5707915273132664,43184,0,11,8388608,0,True,one-admission/cycle/lane pipelined heap and SRAM hazard handling require RTL-level validation
FPGA conservative HW-B,65536,warm,1,1,1,2,400,256,2803.8356299212596,0.042783136442890314,ANALYTICAL RATE EXTRAPOLATION FROM 32K,65536,26215,2804,11,65547,163.8675,0.9135185434596121,163.8675,0.776041617431249,0.0,1.0,1,11,12,8192,0.5707915273132664,43184,256,11,16777216,0,True,one-admission/cycle/lane pipelined heap and SRAM hazard handling require RTL-level validation
FPGA optimistic HW-B,8192,warm,2,2,2,4,400,512,740.7695209973754,0.18085193383724985,TRACE-MEASURED ADMISSION/FIFO,4096,1639,371,11,4107,10.2675,3.9721452496131286,10.2675,3.3908936557672167,0.0,2.0,2,22,24,16384,1.1415830546265329,43360,0,11,2097152,0,True,one-admission/cycle/lane pipelined heap and SRAM hazard handling require RTL-level validation
FPGA optimistic HW-B,16384,warm,2,2,2,4,400,512,947.873687664042,0.115707237263677,TRACE-MEASURED ADMISSION/FIFO,8192,3277,474,11,8203,20.5075,3.0958429423974736,20.5075,2.8438376578182516,0.0,2.0,2,22,24,16384,1.1415830546265329,43360,0,11,4194304,0,True,one-admission/cycle/lane pipelined heap and SRAM hazard handling require RTL-level validation
