context,pcie,effective_payload_bandwidth_gbps,fixed_roundtrip_latency_us,gpu_to_fpga_score_bytes,fpga_to_gpu_index_bytes,payload_transfer_us,fpga_selector_us_at_16_scores_cycle_400mhz,modeled_total_us,gpu_topk_us,topk_speedup,go_at_1_15x,verdict,reason
8192,Gen4 x16,25,20,32768,8192,1.6384,1.28,22.918400000000002,34.816000610589896,1.5191287616321336,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
8192,Gen4 x16,25,40,32768,8192,1.6384,1.28,42.9184,34.816000610589896,0.811213852580476,False,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
8192,Gen4 x16,25,80,32768,8192,1.6384,1.28,82.9184,34.816000610589896,0.4198826872032009,False,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
8192,Gen5 x16,50,20,32768,8192,0.8192,1.28,22.0992,34.816000610589896,1.5754416725759257,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
8192,Gen5 x16,50,40,32768,8192,0.8192,1.28,42.0992,34.816000610589896,0.8269991023722516,False,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
8192,Gen5 x16,50,80,32768,8192,0.8192,1.28,82.0992,34.816000610589896,0.42407234918963765,False,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
16384,Gen4 x16,25,20,65536,8192,2.94912,2.56,25.50912,58.320000767707796,2.2862411861995944,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
16384,Gen4 x16,25,40,65536,8192,2.94912,2.56,45.50912,58.320000767707796,1.281501395054613,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
16384,Gen4 x16,25,80,65536,8192,2.94912,2.56,85.50912,58.320000767707796,0.6820325220012532,False,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
16384,Gen5 x16,50,20,65536,8192,1.47456,2.56,24.03456,58.320000767707796,2.426505863544321,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
16384,Gen5 x16,50,40,65536,8192,1.47456,2.56,44.03456,58.320000767707796,1.3244142956738478,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
16384,Gen5 x16,50,80,65536,8192,1.47456,2.56,84.03456,58.320000767707796,0.694000191917561,False,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
32768,Gen4 x16,25,20,131072,8192,5.57056,5.12,30.69056,63.5839998722076,2.071777115575851,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
32768,Gen4 x16,25,40,131072,8192,5.57056,5.12,50.69056,63.5839998722076,1.2543558380930808,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
32768,Gen4 x16,25,80,131072,8192,5.57056,5.12,90.69056,63.5839998722076,0.7011093533021253,False,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
32768,Gen5 x16,50,20,131072,8192,2.78528,5.12,27.90528,63.5839998722076,2.278565198851529,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
32768,Gen5 x16,50,40,131072,8192,2.78528,5.12,47.90528,63.5839998722076,1.327285841398017,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
32768,Gen5 x16,50,80,131072,8192,2.78528,5.12,87.90528,63.5839998722076,0.7233240127579094,False,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
65536,Gen4 x16,25,20,262144,8192,10.81344,10.24,41.05344,127.1679997444152,3.0976210457495204,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
65536,Gen4 x16,25,40,262144,8192,10.81344,10.24,61.05344,127.1679997444152,2.082896553321405,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
65536,Gen4 x16,25,80,262144,8192,10.81344,10.24,101.05344,127.1679997444152,1.2584232634180015,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
65536,Gen5 x16,50,20,262144,8192,5.40672,10.24,35.64672,127.1679997444152,3.56745304320889,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
65536,Gen5 x16,50,40,262144,8192,5.40672,10.24,55.64672,127.1679997444152,2.2852739522547814,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
65536,Gen5 x16,50,80,262144,8192,5.40672,10.24,95.64672,127.1679997444152,1.3295594427536583,True,NO-GO,not consistently beneficial across contexts and preserves dense score materialization plus two synchronization boundaries
