policy,context_length,qk_reduction_median,head_dot_products,full_bf16_key_bytes,ideal_bf16_key_plus_metadata_bytes,ideal_fp8_key_plus_metadata_bytes,physical_b64_bf16_plus_metadata_bytes,physical_b128_bf16_plus_metadata_bytes,metadata_bytes_per_block,metadata_bytes_per_layer,seed_block_fraction_median,seed_cache_256_bf16_bytes,seed_cache_512_bf16_bytes,seed_cache_1024_bf16_bytes,seed_cache_2048_bf16_bytes,cache0_net_bf16_reduction,cache256_net_bf16_reduction,cache512_net_bf16_reduction,cache1024_net_bf16_reduction,cache2048_net_bf16_reduction
Full,32768,0.0,268435456,8388608,8392704,4198400,8392704,8392704,8,4096,0.6731517509727627,65536,131072,262144,524288,-0.0004890809827116,0.015073104748009,0.0306363608730013,0.0617628731229862,0.1240158976229558
Full,65536,0.0,536870912,16777216,16785408,8396800,16785408,16785408,8,8192,0.6731517509727627,65536,131072,262144,524288,-0.0004890809827116,0.015073104748009,0.0306363608730013,0.0617628731229862,0.1240158976229558
Full,131072,0.0,1073741824,33554432,33570816,16793600,33570816,33570816,8,16384,0.6731517509727627,65536,131072,262144,524288,-0.0004890809827116,0.015073104748009,0.0306363608730013,0.0617628731229862,0.1240158976229558
Safe,32768,0.1710450391834869,222520903,8388608,6957874,3480985,6962089,7807452,8,4096,0.6342412451361867,65536,131072,262144,524288,0.1705553195001002,0.1856256815703381,0.199992469879518,0.2328454465667325,0.3117914407621586
Safe,65536,0.1710450391834869,445041806,16777216,13915748,6961970,13924177,15614905,8,8192,0.6342412451361867,65536,131072,262144,524288,0.1705553195001002,0.1856256815703381,0.199992469879518,0.2328454465667325,0.3117914407621586
Safe,131072,0.1710450391834869,890083612,33554432,27831497,13923940,27848355,31229809,8,16384,0.6342412451361867,65536,131072,262144,524288,0.1705553195001002,0.1856256815703381,0.199992469879518,0.2328454465667325,0.3117914407621586
Balanced,32768,0.284626397656644,192031639,8388608,6005085,3004590,6009948,6832033,8,4096,0.6101364522417154,65536,131072,262144,524288,0.2841371198834891,0.3001347306510853,0.315694476735911,0.3487224144491686,0.4169228824151497
Balanced,65536,0.284626397656644,384063278,16777216,12010169,6009181,12019895,13664065,8,8192,0.6101364522417154,65536,131072,262144,524288,0.2841371198834891,0.3001347306510853,0.315694476735911,0.3487224144491686,0.4169228824151497
Balanced,131072,0.284626397656644,768126557,33554432,24020339,12018361,24039791,27328131,8,16384,0.6101364522417154,65536,131072,262144,524288,0.2841371198834891,0.3001347306510853,0.315694476735911,0.3487224144491686,0.4169228824151497
Aggressive,32768,0.4099998475656825,158376960,8388608,4953376,2478736,4958771,5856613,8,4096,0.5486381322957199,65536,131072,262144,524288,0.4095107991983993,0.421250781860453,0.4341592642622903,0.4573885204714427,0.5118221702204377
Aggressive,65536,0.4099998475656825,316753920,16777216,9906752,4957472,9917542,11713226,8,8192,0.5486381322957199,65536,131072,262144,524288,0.4095107991983993,0.421250781860453,0.4341592642622903,0.4573885204714427,0.5118221702204377
Aggressive,131072,0.4099998475656825,633507840,33554432,19813504,9914944,19835084,23426453,8,16384,0.5486381322957199,65536,131072,262144,524288,0.4095107991983993,0.421250781860453,0.4341592642622903,0.4573885204714427,0.5118221702204377
