policy,selection_role,step,layer,prompt_id,workload,base_context_length,context_length,qk_reduction,recall,output_cosine,output_relative_l2,output_max_abs,preprojection_cosine,preprojection_relative_l2,attention_js,attention_kl_eps1e8
streak2_bucket8_m-0.75_age2,Safe,1,2,code_heldout_3,long-code,16384,16386,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.211808456806466e-06
streak2_bucket8_m-0.75_refresh8,Balanced,1,2,code_heldout_3,long-code,16384,16386,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.211808456806466e-06
streak2_bucket8_m0,Aggressive,1,2,code_heldout_3,long-code,16384,16386,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.211808456806466e-06
streak2_bucket8_m-0.75_age2,Safe,2,2,code_heldout_3,long-code,16384,16387,0.23823762738756327,0.9921875,0.9999961853027344,0.0028391920495778322,0.0009765625,0.999996542930603,0.002659436082467437,0.0003618187620304525,0.003076513297855854
streak2_bucket8_m-0.75_refresh8,Balanced,2,2,code_heldout_3,long-code,16384,16387,0.23823762738756327,0.9921875,0.9999961853027344,0.0028391920495778322,0.0009765625,0.999996542930603,0.002659436082467437,0.0003618187620304525,0.003076513297855854
streak2_bucket8_m0,Aggressive,2,2,code_heldout_3,long-code,16384,16387,0.23823762738756327,0.9921875,0.9999961853027344,0.0028391920495778322,0.0009765625,0.999996542930603,0.002659436082467437,0.0003618187620304525,0.003076513297855854
streak2_bucket8_m-0.75_age2,Safe,3,2,code_heldout_3,long-code,16384,16388,0.24212838662435932,0.99658203125,0.9999985694885254,0.0016707060858607292,0.00048828125,0.9999995827674866,0.0009941260796040297,0.00011861306120408699,0.002558301202952862
streak2_bucket8_m-0.75_refresh8,Balanced,3,2,code_heldout_3,long-code,16384,16388,0.24212838662435932,0.99658203125,0.9999985694885254,0.0016707060858607292,0.00048828125,0.9999995827674866,0.0009941260796040297,0.00011861306120408699,0.002558301202952862
streak2_bucket8_m0,Aggressive,3,2,code_heldout_3,long-code,16384,16388,0.24212838662435932,0.99658203125,0.9999985694885254,0.0016707060858607292,0.00048828125,0.9999995827674866,0.0009941260796040297,0.00011861306120408699,0.002558301202952862
streak2_bucket8_m-0.75_age2,Safe,4,2,code_heldout_3,long-code,16384,16389,0.06638599060345352,0.99658203125,0.9999895095825195,0.004710870329290628,0.001953125,0.9999897480010986,0.004596208222210407,0.0009323698468506336,0.029202008619904518
streak2_bucket8_m-0.75_refresh8,Balanced,4,2,code_heldout_3,long-code,16384,16389,0.304594545121728,0.9921875,0.9999890327453613,0.004775091540068388,0.001708984375,0.9999876022338867,0.005040111020207405,0.0012765058781951666,0.03649624437093735
streak2_bucket8_m0,Aggressive,4,2,code_heldout_3,long-code,16384,16389,0.17572762218561233,1.0,1.0000001192092896,0.0,0.0,0.9999998807907104,0.0,0.0,3.1492354537476785e-06
streak2_bucket8_m-0.75_age2,Safe,5,2,code_heldout_3,long-code,16384,16390,0.31238560097620505,0.98388671875,0.9999964237213135,0.002719343174248934,0.001953125,0.9999982118606567,0.0019069600384682417,0.0004551530000753701,0.009031464345753193
streak2_bucket8_m-0.75_refresh8,Balanced,5,2,code_heldout_3,long-code,16384,16390,0.33190970103721784,0.98291015625,0.9999940395355225,0.003478006925433874,0.0009765625,0.999995231628418,0.00310707394964993,0.0005426467396318913,0.011060316115617752
streak2_bucket8_m0,Aggressive,5,2,code_heldout_3,long-code,16384,16390,0.30067114093959735,0.98681640625,0.9999970197677612,0.0024434381630271673,0.00146484375,0.9999986886978149,0.001658909604884684,0.0003440513974055648,0.006818631663918495
streak2_bucket8_m-0.75_age2,Safe,6,2,code_heldout_3,long-code,16384,16391,0.2850344701360503,0.97802734375,0.9999964237213135,0.0026947795413434505,0.0009765625,0.9999980330467224,0.001946079428307712,0.0003506832872517407,0.004996619187295437
streak2_bucket8_m-0.75_refresh8,Balanced,6,2,code_heldout_3,long-code,16384,16391,0.3670306875724483,0.9677734375,0.9999956488609314,0.0029532350599765778,0.0009765625,0.9999970197677612,0.0024440281558781862,0.0006639559869654477,0.01098189689218998
streak2_bucket8_m0,Aggressive,6,2,code_heldout_3,long-code,16384,16391,0.33579403331096336,0.97265625,0.9999958276748657,0.0029154119547456503,0.0009765625,0.9999974966049194,0.00225334195420146,0.00045865174615755677,0.00705489469692111
streak2_bucket8_m-0.75_age2,Safe,7,2,code_heldout_3,long-code,16384,16392,0.08589555880917521,0.99609375,0.9999966025352478,0.002581520937383175,0.0006103515625,0.9999986290931702,0.0016644868301227689,7.523343083448708e-05,0.0005921547999605536
streak2_bucket8_m-0.75_refresh8,Balanced,7,2,code_heldout_3,long-code,16384,16392,0.38653001464128844,0.99072265625,0.9999966025352478,0.002587280934676528,0.00048828125,0.9999982714653015,0.0018773017218336463,0.00015127149526961148,0.00217302143573761
streak2_bucket8_m0,Aggressive,7,2,code_heldout_3,long-code,16384,16392,0.2850170815031723,0.99609375,0.9999969005584717,0.0025022667832672596,0.00048828125,0.9999986290931702,0.0016532560111954808,6.48193308734335e-05,0.0003813123912550509
streak2_bucket8_m-0.75_age2,Safe,8,2,code_heldout_3,long-code,16384,16393,0.29280790581345695,0.9765625,0.9999755620956421,0.0069883884862065315,0.001953125,0.9999738931655884,0.007228241767734289,0.0007791463285684586,0.007095493376255035
