policy,layer,base_context_length,workload,qk_reduction,recall,top128_recall,top512_recall,top2048_recall,index_mass_ratio,newly_hot_miss_rate
dynamic_address_m-0.25,2,8192,long-code,0.2005785920925747,0.9803790395341208,0.9996104002624672,0.9969959809711286,0.9803790395341208,0.9988252305049388,0.0476600403541791
dynamic_address_m-0.25,2,8192,long-text,0.178836107398858,0.9765330237040682,0.9999589895013123,0.996596128608924,0.9765330237040682,0.9989647349762985,0.0537025234383634
dynamic_address_m-0.25,2,16384,long-code,0.5758754863813229,0.907969877788714,0.996698654855643,0.978044004265092,0.907969877788714,0.9899653932544482,0.1856328169063669
dynamic_address_m-0.25,2,16384,long-text,0.5518581491377217,0.9036458333333334,0.989009186351706,0.9630700459317584,0.9036458333333334,0.982800032819703,0.1807433082081328
dynamic_address_m-0.25,2,32768,long-code,0.7646146830825353,0.8421352116141733,0.975824311023622,0.9381817995406824,0.8421352116141733,0.9663745199597654,0.2698585539151759
dynamic_address_m-0.25,2,32768,long-text,0.7429616087751372,0.8436577263779528,0.9750656167979004,0.9335424868766404,0.8436577263779528,0.960702066017661,0.261853819775224
dynamic_address_m-0.25,5,8192,long-code,0.3258181818181818,0.974378690944882,0.9999794947506562,0.9989798638451444,0.974378690944882,0.9989830367130438,0.0821684365836068
dynamic_address_m-0.25,5,8192,long-text,0.2176606340337665,0.9769815760334646,0.999753937007874,0.9977341699475064,0.9769815760334646,0.9987083007052764,0.0675499327202096
dynamic_address_m-0.25,5,16384,long-code,0.6415163112812101,0.9387649175688976,0.9974778543307088,0.9902907644356956,0.9387649175688976,0.9898812773805784,0.1536909480144478
dynamic_address_m-0.25,5,16384,long-text,0.5751760991012873,0.9412293922244096,0.997190780839895,0.9884606709317584,0.9412293922244096,0.987949840574888,0.1348566795665828
dynamic_address_m-0.25,5,32768,long-code,0.7665021027610166,0.880001999261811,0.9854002624671916,0.9619781414041996,0.880001999261811,0.969531270182076,0.2239919667492897
dynamic_address_m-0.25,5,32768,long-text,0.7384990105038819,0.8722651123687664,0.9852977362204725,0.9576259022309712,0.8722651123687664,0.9665248607024896,0.2354359290146601
dynamic_address_m-0.25,8,8192,long-code,0.2416270856168554,0.973894254429134,0.9999794947506562,0.998272432742782,0.973894254429134,0.9990001058043488,0.0740018685397879
dynamic_address_m-0.25,8,8192,long-text,0.1464707299445916,0.9793550586450132,0.999876968503937,0.9982057906824148,0.9793550586450132,0.998783174047924,0.0556408088102453
dynamic_address_m-0.25,8,16384,long-code,0.7099841521394612,0.944810121391076,0.9981955380577427,0.992407931430446,0.944810121391076,0.9894041291458452,0.1413448980435438
dynamic_address_m-0.25,8,16384,long-text,0.6637789030565554,0.9396222933070866,0.9946481299212598,0.9853797572178478,0.9396222933070866,0.984895666743796,0.143462485971666
dynamic_address_m-0.25,8,32768,long-code,0.7371339772692648,0.8498785063976378,0.970964566929134,0.93776656824147,0.8498785063976378,0.951374032596558,0.2451579942885954
dynamic_address_m-0.25,8,32768,long-text,0.7145725585640401,0.8369819861384514,0.959215059055118,0.9250943241469816,0.8369819861384514,0.9486004074666656,0.2613522928856562
dynamic_address_m-0.25,11,8192,long-code,0.1770294648226097,0.9842660658628608,1.0,0.9992976952099738,0.9842660658628608,0.9990927458955248,0.0497248668563705
dynamic_address_m-0.25,11,8192,long-text,0.1550387596899225,0.9805238578576116,0.9999179790026248,0.9992976952099738,0.9805238578576116,0.9987994107043636,0.0621751689553506
dynamic_address_m-0.25,11,16384,long-code,0.547838756677999,0.9507335752952756,0.9993438320209974,0.9948429297900262,0.9507335752952756,0.9920790913737306,0.1237805845777584
dynamic_address_m-0.25,11,16384,long-text,0.4996340570870944,0.944214187582021,0.9966576443569554,0.98951156496063,0.944214187582021,0.9886176867885366,0.1224448399484964
dynamic_address_m-0.25,11,32768,long-code,0.6733144268593907,0.9039905778379264,0.9882504921259844,0.966186843832021,0.9039905778379264,0.9736391853276052,0.174057442987626
dynamic_address_m-0.25,11,32768,long-text,0.6695132365499573,0.8619676324639107,0.9823449803149606,0.9490495816929134,0.8619676324639107,0.9624173424795464,0.2349081155519508
dynamic_address_m-0.25,14,8192,long-code,0.2163728567978748,0.9767496104002624,0.9991182742782152,0.9969139599737532,0.9767496104002624,0.9976346099920084,0.0634940206115094
dynamic_address_m-0.25,14,8192,long-text,0.0925747348119575,0.9884478551509186,0.9999794947506562,0.9992925688976378,0.9884478551509186,0.9990452749980197,0.0349939610682649
dynamic_address_m-0.25,14,16384,long-code,0.4704738760631834,0.9498172469652232,0.9944840879265092,0.9856770833333334,0.9498172469652232,0.9886352948402872,0.1053613716755508
dynamic_address_m-0.25,14,16384,long-text,0.3841396871589668,0.9443692585301836,0.9972112860892388,0.986933029855643,0.9443692585301836,0.9884325841705838,0.111362166060521
dynamic_address_m-0.25,14,32768,long-code,0.5849913165351452,0.8757907336778216,0.9779978674540682,0.9453586368110236,0.8757907336778216,0.964325841617946,0.2005326997052289
dynamic_address_m-0.25,14,32768,long-text,0.5887656878274643,0.8407498257053806,0.9681143372703412,0.9245304297900262,0.8407498257053806,0.9530586975067368,0.2450079736451277
dynamic_address_m-0.25,17,8192,long-code,0.1628104179285281,0.9655152969160103,0.9979084645669292,0.9909161745406824,0.9655152969160103,0.9967443654955274,0.0722637096445383
dynamic_address_m-0.25,17,8192,long-text,0.0854576353483855,0.9794088849245408,0.9979904855643044,0.9941918881233596,0.9794088849245408,0.9980869328386024,0.0440843360450137
dynamic_address_m-0.25,17,16384,long-code,0.4400900626787561,0.9364580770177166,0.9908136482939632,0.978023499015748,0.9364580770177166,0.9893695968419256,0.119153358281886
dynamic_address_m-0.25,17,16384,long-text,0.3859884252208346,0.928826279527559,0.9923310367454068,0.975583374343832,0.928826279527559,0.9848537134858676,0.1246451867771496
dynamic_address_m-0.25,17,32768,long-code,0.6277185501066098,0.875002563156168,0.9733431758530184,0.9403553559711286,0.875002563156168,0.9681818869132136,0.1931655108748739
dynamic_address_m-0.25,17,32768,long-text,0.6186874847523787,0.8304177431922573,0.949208497375328,0.9053682742782152,0.8304177431922573,0.9476888492822014,0.2426103463436666
dynamic_address_m-0.25,21,8192,long-code,0.0780012187690433,0.9870227403215224,0.9999384842519684,0.9988260744750656,0.9870227403215224,0.99921732207115,0.0341921743784813
dynamic_address_m-0.25,21,8192,long-text,0.062317429406037,0.9911801796259844,0.9997949475065616,0.9976111384514436,0.9911801796259844,0.9989489656812628,0.0178048035556613
dynamic_address_m-0.25,21,16384,long-code,0.3115302707636143,0.954957656660105,0.9971497703412072,0.9883273868110236,0.954957656660105,0.9933590369769676,0.0891907849647892
dynamic_address_m-0.25,21,16384,long-text,0.4095313547443476,0.938227936351706,0.990465059055118,0.975362942913386,0.938227936351706,0.9849318877436466,0.1097124797009257
dynamic_address_m-0.25,21,32768,long-code,0.5367162722615272,0.8891857878116798,0.9785925196850394,0.9503414124015748,0.8891857878116798,0.971885865089875,0.1744593158131377
dynamic_address_m-0.25,21,32768,long-text,0.5462248910293535,0.8824651923392388,0.9843955052493438,0.9496493602362204,0.8824651923392388,0.9707179330262674,0.1848444757370023
dynamic_address_m-0.25,25,8192,long-code,0.2342320361107722,0.9825256828248032,0.9998564632545932,0.9984364747375328,0.9825256828248032,0.998478558901515,0.0501326509341234
dynamic_address_m-0.25,25,8192,long-text,0.0777926340099671,0.9910302349901576,0.9999589895013123,0.9990003690944882,0.9910302349901576,0.999276868700812,0.0260306470713487
dynamic_address_m-0.25,25,16384,long-code,0.572541382667965,0.965455062746063,0.998421095800525,0.9929923310367454,0.965455062746063,0.9925633531137706,0.0776919719671679
dynamic_address_m-0.25,25,16384,long-text,0.5380772511270866,0.9615898232447506,0.9928641732283464,0.9849952837926508,0.9615898232447506,0.9898703531576554,0.0892972378895677
dynamic_address_m-0.25,25,32768,long-code,0.6267830530125612,0.8800981176181102,0.979863845144357,0.9466504675196852,0.8800981176181102,0.9672168800706752,0.1898100982073825
dynamic_address_m-0.25,25,32768,long-text,0.5626844330869155,0.8780975742290026,0.9753116797900262,0.941149934383202,0.8780975742290026,0.9661953330169856,0.189358288926436
dynamic_address_m-0.5,2,8192,long-code,0.239990322970848,0.9704916646161418,0.9994053477690288,0.9952427821522308,0.9704916646161418,0.9982525872454132,0.0675367847024972
dynamic_address_m-0.5,2,8192,long-text,0.2167130245495223,0.969477936351706,0.9998154527559056,0.9950069717847768,0.969477936351706,0.998523826907144,0.0662403657892058
dynamic_address_m-0.5,2,16384,long-code,0.6113409588707714,0.8857075848917323,0.9946686351706036,0.9695138205380578,0.8857075848917323,0.986576025768172,0.2206924284535702
dynamic_address_m-0.5,2,16384,long-text,0.6032962354801436,0.8811720800524935,0.9873687664041996,0.9541656414041996,0.8811720800524935,0.978321196330673,0.2165752130405449
dynamic_address_m-0.5,2,32768,long-code,0.792045489099036,0.8206687787073491,0.9741838910761156,0.9308511729002624,0.8206687787073491,0.9612551350028352,0.3039529057985159
dynamic_address_m-0.5,2,32768,long-text,0.7811767570693696,0.8157193241469817,0.963746719160105,0.9147032890419948,0.8157193241469817,0.9499649112513654,0.2965991131428474
dynamic_address_m-0.5,5,8192,long-code,0.3587618815500852,0.969007597194882,0.9999794947506562,0.9987338008530184,0.969007597194882,0.9987512193572088,0.0975322083771461
