policy,selection_role,step,layer,prompt_id,workload,base_context_length,context_length,dense_teacher_mass,full_indexer_teacher_mass,approx_teacher_mass,teacher_mass_delta,teacher_mass_ratio
streak2_bucket8_m-0.75_age2,Safe,1,2,code_heldout_3,long-code,16384,16386,0.9999632239341736,0.8982426524162292,0.8982426524162292,0.0,1.0
streak2_bucket8_m-0.75_age2,Safe,2,2,code_heldout_3,long-code,16384,16387,0.9999816417694092,0.8853663206100464,0.8856486082077026,0.00028228759765625,1.0003188370633544
streak2_bucket8_m-0.75_age2,Safe,3,2,code_heldout_3,long-code,16384,16388,0.9999719262123108,0.9448988437652588,0.9446619749069214,-0.00023686885833740234,0.999749318289571
streak2_bucket8_m-0.75_age2,Safe,4,2,code_heldout_3,long-code,16384,16389,1.0000397562980652,0.8544158935546875,0.8524117469787598,-0.0020041465759277344,0.9976543664612912
streak2_bucket8_m-0.75_age2,Safe,5,2,code_heldout_3,long-code,16384,16390,1.0001068711280823,0.9448995590209961,0.9444586038589478,-0.00044095516204833984,0.9995333311801889
streak2_bucket8_m-0.75_age2,Safe,6,2,code_heldout_3,long-code,16384,16391,1.0000446438789368,0.9624686241149902,0.9624106287956238,-5.799531936645508e-05,0.9999397431584642
streak2_bucket8_m-0.75_age2,Safe,7,2,code_heldout_3,long-code,16384,16392,0.9998136162757874,0.9748069047927856,0.974880576133728,7.367134094238281e-05,1.0000755753171013
streak2_bucket8_m-0.75_age2,Safe,8,2,code_heldout_3,long-code,16384,16393,0.9999109506607056,0.9338845610618591,0.9344730377197266,0.0005884766578674316,1.0006301385443168
streak2_bucket8_m-0.75_age2,Safe,9,2,code_heldout_3,long-code,16384,16394,0.999966025352478,0.8753936886787415,0.8804978132247925,0.005104124546051025,1.0058306618062953
streak2_bucket8_m-0.75_age2,Safe,10,2,code_heldout_3,long-code,16384,16395,1.0000627636909485,0.932949960231781,0.9330711364746094,0.00012117624282836914,1.0001298850399203
streak2_bucket8_m-0.75_age2,Safe,11,2,code_heldout_3,long-code,16384,16396,1.0000961422920227,0.9343358874320984,0.9327752590179443,-0.0015606284141540527,0.9983296923139244
streak2_bucket8_m-0.75_age2,Safe,12,2,code_heldout_3,long-code,16384,16397,1.0000737309455872,0.9500547051429749,0.9498149752616882,-0.0002397298812866211,0.9997476672869584
streak2_bucket8_m-0.75_age2,Safe,13,2,code_heldout_3,long-code,16384,16398,0.9999583959579468,0.960761308670044,0.9606410264968872,-0.00012028217315673828,0.9998748053527226
streak2_bucket8_m-0.75_age2,Safe,14,2,code_heldout_3,long-code,16384,16399,1.0000898241996765,0.9779022336006165,0.9779646396636963,6.240606307983398e-05,1.0000638162598832
streak2_bucket8_m-0.75_age2,Safe,15,2,code_heldout_3,long-code,16384,16400,0.9999933242797852,0.9669764041900635,0.9671246409416199,0.00014823675155639648,1.0001532992438225
streak2_bucket8_m-0.75_age2,Safe,16,2,code_heldout_3,long-code,16384,16401,1.0000970959663391,0.9103522896766663,0.9099529981613159,-0.0003992915153503418,0.9995613879155594
streak2_bucket8_m-0.75_age2,Safe,17,2,code_heldout_3,long-code,16384,16402,1.0000920295715332,0.8974604606628418,0.8972502946853638,-0.00021016597747802734,0.99976582146324
streak2_bucket8_m-0.75_age2,Safe,18,2,code_heldout_3,long-code,16384,16403,1.000011146068573,0.9416549205780029,0.9407614469528198,-0.0008934736251831055,0.9990511666156486
streak2_bucket8_m-0.75_age2,Safe,19,2,code_heldout_3,long-code,16384,16404,1.0000293850898743,0.9574082493782043,0.9572795629501343,-0.00012868642807006836,0.9998655887620003
streak2_bucket8_m-0.75_age2,Safe,20,2,code_heldout_3,long-code,16384,16405,1.000040590763092,0.963545560836792,0.9635366797447205,-8.881092071533203e-06,0.9999907829038579
streak2_bucket8_m-0.75_age2,Safe,21,2,code_heldout_3,long-code,16384,16406,0.999952495098114,0.9796187877655029,0.9796485900878906,2.9802322387695312e-05,1.0000304223671084
streak2_bucket8_m-0.75_age2,Safe,22,2,code_heldout_3,long-code,16384,16407,0.9999634027481079,0.9692142605781555,0.9692112803459167,-2.9802322387695312e-06,0.9999969251048401
streak2_bucket8_m-0.75_age2,Safe,23,2,code_heldout_3,long-code,16384,16408,1.0000945329666138,0.9214950799942017,0.9212544560432434,-0.00024062395095825195,0.9997388765754889
streak2_bucket8_m-0.75_age2,Safe,24,2,code_heldout_3,long-code,16384,16409,0.9999946355819702,0.9182270169258118,0.91811203956604,-0.00011497735977172852,0.9998747832968837
streak2_bucket8_m-0.75_age2,Safe,25,2,code_heldout_3,long-code,16384,16410,1.000011682510376,0.9192306399345398,0.9189363718032837,-0.0002942681312561035,0.9996798756280828
streak2_bucket8_m-0.75_age2,Safe,26,2,code_heldout_3,long-code,16384,16411,1.000000238418579,0.9420822262763977,0.9409079551696777,-0.0011742711067199707,0.9987535365024757
streak2_bucket8_m-0.75_age2,Safe,27,2,code_heldout_3,long-code,16384,16412,0.9998238682746887,0.9649531245231628,0.9650818705558777,0.00012874603271484375,1.0001334220590026
streak2_bucket8_m-0.75_age2,Safe,28,2,code_heldout_3,long-code,16384,16413,1.0000066757202148,0.9633172154426575,0.9629232287406921,-0.00039398670196533203,0.999591010421438
streak2_bucket8_m-0.75_age2,Safe,29,2,code_heldout_3,long-code,16384,16414,0.9999856352806091,0.980591356754303,0.9806064367294312,1.5079975128173828e-05,1.0000153784499775
streak2_bucket8_m-0.75_age2,Safe,30,2,code_heldout_3,long-code,16384,16415,0.9998636841773987,0.9694814682006836,0.9696154594421387,0.00013399124145507812,1.0001382091827953
streak2_bucket8_m-0.75_age2,Safe,31,2,code_heldout_3,long-code,16384,16416,0.9999079704284668,0.9221668839454651,0.9223246574401855,0.00015777349472045898,1.000171089959385
streak2_bucket8_m-0.75_age2,Safe,32,2,code_heldout_3,long-code,16384,16417,0.9999975562095642,0.9035568833351135,0.9039338827133179,0.0003769993782043457,1.000417239229934
streak2_bucket8_m-0.75_age2,Safe,33,2,code_heldout_3,long-code,16384,16418,0.9999949932098389,0.8946690559387207,0.8949492573738098,0.00028020143508911133,1.000313190037399
streak2_bucket8_m-0.75_age2,Safe,34,2,code_heldout_3,long-code,16384,16419,0.9999434351921082,0.945556104183197,0.9440966844558716,-0.0014594197273254395,0.9984565487749814
streak2_bucket8_m-0.75_age2,Safe,35,2,code_heldout_3,long-code,16384,16420,0.9999107122421265,0.9301179647445679,0.9300609230995178,-5.704164505004883e-05,0.999938672676787
streak2_bucket8_m-0.75_age2,Safe,36,2,code_heldout_3,long-code,16384,16421,0.9999848008155823,0.928174614906311,0.9286814332008362,0.0005068182945251465,1.0005460376597095
streak2_bucket8_m-0.75_age2,Safe,37,2,code_heldout_3,long-code,16384,16422,0.9999521970748901,0.9644238352775574,0.9650495052337646,0.0006256699562072754,1.0006487499928154
streak2_bucket8_m-0.75_age2,Safe,38,2,code_heldout_3,long-code,16384,16423,0.9998536705970764,0.9731684923171997,0.9731494784355164,-1.901388168334961e-05,0.9999804618811301
streak2_bucket8_m-0.75_age2,Safe,39,2,code_heldout_3,long-code,16384,16424,0.9999862313270569,0.9700323939323425,0.9700425267219543,1.0132789611816406e-05,1.0000104458260108
streak2_bucket8_m-0.75_age2,Safe,40,2,code_heldout_3,long-code,16384,16425,0.9999319314956665,0.9064182043075562,0.9065613150596619,0.0001431107521057129,1.0001578860082747
streak2_bucket8_m-0.75_age2,Safe,41,2,code_heldout_3,long-code,16384,16426,0.9999687075614929,0.9024715423583984,0.901667058467865,-0.0008044838905334473,0.9991085769990806
streak2_bucket8_m-0.75_age2,Safe,42,2,code_heldout_3,long-code,16384,16427,0.9999715685844421,0.9423270225524902,0.9422024488449097,-0.0001245737075805664,0.999867802042604
streak2_bucket8_m-0.75_age2,Safe,43,2,code_heldout_3,long-code,16384,16428,0.9999004006385803,0.8449288606643677,0.8446095585823059,-0.0003193020820617676,0.9996220958983332
streak2_bucket8_m-0.75_age2,Safe,44,2,code_heldout_3,long-code,16384,16429,0.9999763369560242,0.9460793137550354,0.9453960657119751,-0.0006832480430603027,0.9992778110321973
streak2_bucket8_m-0.75_age2,Safe,45,2,code_heldout_3,long-code,16384,16430,0.9999284744262695,0.9628176093101501,0.9625208377838135,-0.0002967715263366699,0.9996917676583115
streak2_bucket8_m-0.75_age2,Safe,46,2,code_heldout_3,long-code,16384,16431,0.9999783039093018,0.9764602780342102,0.976478099822998,1.7821788787841797e-05,1.0000182514221918
streak2_bucket8_m-0.75_age2,Safe,47,2,code_heldout_3,long-code,16384,16432,0.9999490976333618,0.9671320915222168,0.9675611257553101,0.0004290342330932617,1.0004436149279443
streak2_bucket8_m-0.75_age2,Safe,48,2,code_heldout_3,long-code,16384,16433,0.999959409236908,0.9169820547103882,0.9165906310081482,-0.00039142370223999023,0.9995731391904243
streak2_bucket8_m-0.75_age2,Safe,49,2,code_heldout_3,long-code,16384,16434,1.0000433921813965,0.9388019442558289,0.9396271109580994,0.0008251667022705078,1.0008789571722976
streak2_bucket8_m-0.75_age2,Safe,50,2,code_heldout_3,long-code,16384,16435,1.0000582337379456,0.9405242800712585,0.9400609135627747,-0.0004633665084838867,0.9995073316890354
streak2_bucket8_m-0.75_age2,Safe,51,2,code_heldout_3,long-code,16384,16436,1.0000519156455994,0.9532759785652161,0.9524540305137634,-0.0008219480514526367,0.9991377648551579
streak2_bucket8_m-0.75_age2,Safe,52,2,code_heldout_3,long-code,16384,16437,1.0001165270805359,0.9617325663566589,0.9617829918861389,5.042552947998047e-05,1.00005243196627
streak2_bucket8_m-0.75_age2,Safe,53,2,code_heldout_3,long-code,16384,16438,0.9999294281005859,0.9801293015480042,0.9801088571548462,-2.0444393157958984e-05,0.9999791411264558
streak2_bucket8_m-0.75_age2,Safe,54,2,code_heldout_3,long-code,16384,16439,1.0000969171524048,0.9686368703842163,0.969465970993042,0.0008291006088256836,1.000855945746208
streak2_bucket8_m-0.75_age2,Safe,55,2,code_heldout_3,long-code,16384,16440,1.0001347064971924,0.920375645160675,0.920570433139801,0.00019478797912597656,1.000211639649691
streak2_bucket8_m-0.75_age2,Safe,56,2,code_heldout_3,long-code,16384,16441,0.9999442100524902,0.9217497706413269,0.921673595905304,-7.617473602294922e-05,0.9999173585516925
streak2_bucket8_m-0.75_age2,Safe,57,2,code_heldout_3,long-code,16384,16442,0.9999635815620422,0.9451305270195007,0.9451111555099487,-1.9371509552001953e-05,0.9999795038790958
