policy_role,policy,verifier,path,width,rescue_fraction,observations,net_qk_reduction_mean,net_qk_reduction_median,physical_key_byte_reduction_median,exact_match,recall_mean,top128_recall,top256_recall,top512_recall,top1024_recall,top2048_recall,index_mass_ratio_mean,newly_active_token_recall,newly_active_block_recall,tail_critical_block_recall,detector_ap_mean,rescue_precision_mean,rescue_block_fraction_mean,verifier_key_bytes,sketch_bytes,rescue_reread_key_bytes,pair,verifier_mac_fraction,tail32k_output_relative_l2_p95
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w2_b64_r0.1,head,2,0.1,1152,0.3152543043,0.3274583113,0.582481037,0.1432291667,0.9846890767,0.9994506836,0.9987148709,0.9969431559,0.992980957,0.9846890767,0.997256224,0.3417220957,0.2898103072,,0.4794873534,0.4842049089,0.03711543603,3519004672,0,359383040,2H×128D vs 64H×4D,0.03125,
Balanced,streak2_bucket8_m-0.75_refresh8,dim_random_w4_b64_r0.1,dim,4,0.1,1152,0.3299201213,0.3483402936,0.946230511,0.1414930556,0.9752256605,0.9982096354,0.9967074924,0.993314955,0.9870444404,0.9752256605,0.9950225507,0.1362366815,0.1313771162,,0.3286972858,0.3068038211,0.03880411645,0,115073024,375734272,2H×128D vs 64H×4D,0.03125,
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w4_b64_r0.1,head,4,0.1,1152,0.2983331314,0.3103889781,0.5918387477,0.1493055556,0.988164266,0.9996880425,0.9993150499,0.9981469048,0.9952307807,0.988164266,0.998082814,0.4414082817,0.3678338792,,0.5752440213,0.5579456786,0.03639461653,3454255104,0,352403456,4H×128D vs 64H×8D,0.0625,
Balanced,streak2_bucket8_m-0.75_refresh8,dim_random_w8_b64_r0.1,dim,8,0.1,1152,0.3196346174,0.3294557555,0.9340838945,0.140625,0.9740596347,0.9980197483,0.9966159397,0.9932607015,0.9866722955,0.9740596347,0.9946624912,0.1174799562,0.1190542653,,0.3227399911,0.3100935207,0.03898516736,0,231301120,377487360,4H×128D vs 64H×8D,0.0625,
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1152,0.2701088387,0.2779729716,0.6026163111,0.1736111111,0.9914872911,0.9999389648,0.9998135037,0.999238756,0.9972763062,0.9914872911,0.9988262402,0.5545105694,0.471318073,,0.6932406136,0.6417191566,0.03566026051,3380822016,0,345292800,8H×128D vs 64H×16D,0.125,0.07752002515
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_even_w16_b64_r0.1,dim,16,0.1,1152,0.2934098949,0.3039163377,0.9095075804,0.140625,0.9763615926,0.998433431,0.9970533583,0.9940745036,0.9880989922,0.9763615926,0.995290199,0.1560485457,0.1435066617,,0.3397370351,0.3332057444,0.038687364,0,458991616,374603776,8H×128D vs 64H×16D,0.125,0.1518822737
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w16_b64_r0.1,head,16,0.1,1152,0.2216530077,0.2269469188,0.6151658773,0.2690972222,0.9942287869,0.9999932183,0.9999728733,0.9997999403,0.9987894694,0.9942287869,0.9993559051,0.6698591276,0.5868650372,,0.838212866,0.7315363143,0.03493436482,3309928448,0,338264064,16H×128D vs 64H×32D,0.25,0.06304215305
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_random_w32_b64_r0.1,dim,32,0.1,1152,0.2433450517,0.2533715753,0.863109739,0.1414930556,0.9785906474,0.9986436632,0.9974975586,0.9946933322,0.9892968072,0.9785906474,0.9958114224,0.205139503,0.1788864143,,0.3724219935,0.3733167977,0.03827280818,0,908206080,370589696,16H×128D vs 64H×32D,0.25,0.1356359959
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w2_b64_r0.1,head,2,0.1,1152,0.3387554094,0.3274533296,0.5824873887,0.03472222222,0.9854791429,0.9994371202,0.9987284342,0.9970194499,0.9933302138,0.9854791429,0.9973978067,0.3406151359,0.2925022397,,0.3875900338,0.3717950271,0.03992764732,3781853184,0,386613248,2H×128D vs 64H×4D,0.03125,
Aggressive,streak2_bucket8_m0,dim_random_w4_b64_r0.1,dim,4,0.1,1152,0.3760372988,0.3683979422,0.9435539559,0.01996527778,0.9665260315,0.9968058268,0.9942660862,0.9895121257,0.9811893039,0.9665260315,0.9927384904,0.105443795,0.1080180987,,0.2276068839,0.1852115586,0.04419503413,0,131151872,427933696,2H×128D vs 64H×4D,0.03125,
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w4_b64_r0.1,head,4,0.1,1152,0.3193907158,0.3083952795,0.5942480887,0.05208333333,0.9890107049,0.9997694227,0.9993625217,0.9982554118,0.9955588447,0.9890107049,0.9982245993,0.4416496177,0.3748919051,,0.4905653602,0.4451327089,0.03906638646,3699195904,0,378273792,4H×128D vs 64H×8D,0.0625,
Aggressive,streak2_bucket8_m0,dim_had_random_w8_b64_r0.1,dim,8,0.1,1152,0.3693315225,0.3613407207,0.9277801762,0.02083333333,0.9623582628,0.9964260525,0.9937133789,0.9883524577,0.9789657593,0.9623582628,0.9918399319,0.08184111492,0.08628606822,,0.2120857708,0.1622563975,0.04501568544,0,267251712,435879936,4H×128D vs 64H×8D,0.0625,
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1152,0.2885747945,0.27549185,0.6054288224,0.1102430556,0.992351532,0.9999593099,0.9998440213,0.9993252224,0.9975975884,0.992351532,0.9989581208,0.5622907874,0.4845688035,,0.6269645754,0.5283117983,0.03815943986,3612688384,0,369491968,8H×128D vs 64H×16D,0.125,0.08352352418
Aggressive,streak2_bucket8_m0,dim_had_even_w16_b64_r0.1,dim,16,0.1,1152,0.3311454529,0.3139453445,0.9081071366,0.02170138889,0.9699796041,0.9973958333,0.9953070747,0.9912245009,0.9837714301,0.9699796041,0.9935718381,0.127391674,0.1205413548,,0.2341528838,0.2090812092,0.04367726237,0,518055936,422920192,8H×128D vs 64H×16D,0.125,0.2032682285
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w16_b64_r0.1,head,16,0.1,1152,0.2367592326,0.2268327287,0.6153595095,0.2595486111,0.9949824015,0.9999932183,0.9999864366,0.9998491075,0.9989446004,0.9949824015,0.9994451337,0.6813287391,0.6035554337,,0.7987420407,0.613086062,0.03739801081,3536633856,0,362119168,16H×128D vs 64H×32D,0.25,0.06261058785
Aggressive,streak2_bucket8_m0,dim_had_random_w32_b64_r0.1,dim,32,0.1,1152,0.2719107345,0.2619632011,0.8577978977,0.02170138889,0.9739235772,0.9977281359,0.996029324,0.9924435086,0.986050076,0.9739235772,0.994564154,0.1752751451,0.1577373989,,0.2659472533,0.2528034599,0.0428312301,0,1015054336,414728192,16H×128D vs 64H×32D,0.25,0.1688343339
