policy_role,policy,rescue,observations,rescue_blocks_mean,missed_blocks_mean,output_cosine_p5,output_relative_l2_p50,output_relative_l2_p90,output_relative_l2_p95,output_relative_l2_p99,output_relative_l2_max,top128_recall,top512_recall,top2048_recall
Aggressive,streak2_bucket8_m0,0,9216,0.0,27.681966145833332,0.9949714243412018,0.00607391563244164,0.05643376521766186,0.10095960460603237,0.2656096592545523,1.5241520404815674,0.9978061252170138,0.9926134745279948,0.9705541928609213
Aggressive,streak2_bucket8_m0,all,9216,27.681966145833332,27.681966145833332,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Aggressive,streak2_bucket8_m0,best1,9216,0.9491102430555556,27.681966145833332,0.9978521764278412,0.004472937202081084,0.03756644390523434,0.0660019088536501,0.1660514913499358,1.522769808769226,0.997955322265625,0.9929945203993056,0.9720273017883301
Aggressive,streak2_bucket8_m0,best2,9216,1.8602430555555556,27.681966145833332,0.9984099715948105,0.003934430191293359,0.03156432509422302,0.05674036592245102,0.1451086901128294,1.5228564739227295,0.9980434841579862,0.9932895236545138,0.9732652770148383
Aggressive,streak2_bucket8_m0,best4,9216,3.5692274305555554,27.681966145833332,0.9988691359758377,0.0033531408989802003,0.026758101768791676,0.04803541675209999,0.1271115280687815,1.5228279829025269,0.9981952243381076,0.9937917921278212,0.9753704071044922
Aggressive,streak2_bucket8_m0,best8,9216,6.617296006944445,27.681966145833332,0.9992184489965439,0.002751757623627782,0.022175537422299385,0.04001287743449211,0.10536517165601272,1.5228174924850464,0.9984156290690104,0.9945670233832465,0.978771792517768
Balanced,streak2_bucket8_m-0.75_refresh8,0,9216,0.0,17.80805121527778,0.9978915005922318,0.003422114416025579,0.03420739434659481,0.06597505696117878,0.17927267327904708,1.5230273008346558,0.9991488986545138,0.9966341654459635,0.9828813870747884
Balanced,streak2_bucket8_m-0.75_refresh8,all,9216,17.80805121527778,17.80805121527778,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Balanced,streak2_bucket8_m-0.75_refresh8,best1,9216,0.8177083333333334,17.80805121527778,0.9990715980529785,0.002601528773084283,0.022160742431879044,0.043545554392039776,0.111384177953005,1.5229072570800781,0.9991845024956597,0.9968229929606119,0.9839772648281522
Balanced,streak2_bucket8_m-0.75_refresh8,best2,9216,1.5881076388888888,17.80805121527778,0.9993525594472885,0.00235838838852942,0.019109467044472694,0.03620945941656828,0.09944118484854718,1.5229507684707642,0.9992353651258681,0.996988508436415,0.9848629633585612
Balanced,streak2_bucket8_m-0.75_refresh8,best4,9216,2.9973958333333335,17.80805121527778,0.9995508342981339,0.0019617885118350387,0.016036460176110268,0.03013535449281335,0.08541697040200251,1.522868275642395,0.9993048773871528,0.9972370995415581,0.9863308800591363
Balanced,streak2_bucket8_m-0.75_refresh8,best8,9216,5.404079861111111,17.80805121527778,0.9997033625841141,0.0012118160957470536,0.012759008910506964,0.024417973589152098,0.07468681745231202,1.5221233367919922,0.9994159274631076,0.9976395501030816,0.9886206520928277
