policy,policy_role,rescue,rescue_blocks,missed_blocks,step,layer,prompt_id,workload,base_context_length,context_length,output_cosine,output_relative_l2,output_max_abs,top128_recall,top512_recall,top2048_recall
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,best1,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,best2,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,best4,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,best8,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,all,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,best1,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,best2,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,best4,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,best8,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,all,0,0,1,2,code_heldout_3,long-code,16384,16386,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,9,2,2,code_heldout_3,long-code,16384,16387,0.9999961853027344,0.0028391920495778322,0.0009765625,1.0,1.0,0.9921875
streak2_bucket8_m-0.75_refresh8,Balanced,best1,1,9,2,2,code_heldout_3,long-code,16384,16387,0.9999984502792358,0.0017655201954767108,0.0009765625,1.0,1.0,0.994140625
streak2_bucket8_m-0.75_refresh8,Balanced,best2,2,9,2,2,code_heldout_3,long-code,16384,16387,0.9999985694885254,0.0017034171614795923,0.0009765625,1.0,1.0,0.99462890625
