policy_role,policy,rescue,observations,rescue_blocks_mean,missed_blocks_mean,output_cosine_p5,output_relative_l2_p50,output_relative_l2_p90,output_relative_l2_p95,output_relative_l2_p99,output_relative_l2_max,top128_recall,top512_recall,top2048_recall
Aggressive,streak2_bucket8_m0,0,9216,0,27.68196615,0.9949714243,0.006073915632,0.05643376522,0.1009596046,0.2656096593,1.52415204,0.9978061252,0.9926134745,0.9705541929
Aggressive,streak2_bucket8_m0,all,9216,27.68196615,27.68196615,0.9999998808,0,0,0,0,0,1,1,1
Aggressive,streak2_bucket8_m0,best1,9216,0.9491102431,27.68196615,0.9978521764,0.004472937202,0.03756644391,0.06600190885,0.1660514913,1.522769809,0.9979553223,0.9929945204,0.9720273018
Aggressive,streak2_bucket8_m0,best2,9216,1.860243056,27.68196615,0.9984099716,0.003934430191,0.03156432509,0.05674036592,0.1451086901,1.522856474,0.9980434842,0.9932895237,0.973265277
Aggressive,streak2_bucket8_m0,best4,9216,3.569227431,27.68196615,0.998869136,0.003353140899,0.02675810177,0.04803541675,0.1271115281,1.522827983,0.9981952243,0.9937917921,0.9753704071
Aggressive,streak2_bucket8_m0,best8,9216,6.617296007,27.68196615,0.999218449,0.002751757624,0.02217553742,0.04001287743,0.1053651717,1.522817492,0.9984156291,0.9945670234,0.9787717925
Balanced,streak2_bucket8_m-0.75_refresh8,0,9216,0,17.80805122,0.9978915006,0.003422114416,0.03420739435,0.06597505696,0.1792726733,1.523027301,0.9991488987,0.9966341654,0.9828813871
Balanced,streak2_bucket8_m-0.75_refresh8,all,9216,17.80805122,17.80805122,0.9999998808,0,0,0,0,0,1,1,1
Balanced,streak2_bucket8_m-0.75_refresh8,best1,9216,0.8177083333,17.80805122,0.9990715981,0.002601528773,0.02216074243,0.04354555439,0.111384178,1.522907257,0.9991845025,0.996822993,0.9839772648
Balanced,streak2_bucket8_m-0.75_refresh8,best2,9216,1.588107639,17.80805122,0.9993525594,0.002358388389,0.01910946704,0.03620945942,0.09944118485,1.522950768,0.9992353651,0.9969885084,0.9848629634
Balanced,streak2_bucket8_m-0.75_refresh8,best4,9216,2.997395833,17.80805122,0.9995508343,0.001961788512,0.01603646018,0.03013535449,0.0854169704,1.522868276,0.9993048774,0.9972370995,0.9863308801
Balanced,streak2_bucket8_m-0.75_refresh8,best8,9216,5.404079861,17.80805122,0.9997033626,0.001211816096,0.01275900891,0.02441797359,0.07468681745,1.522123337,0.9994159275,0.9976395501,0.9886206521
