policy_role,verifier,step,layer,prompt_id,workload,base_context_length,context_length,output_cosine,output_relative_l2,output_max_abs,output_norm_ratio,preprojection_cosine,preprojection_relative_l2,per_head_relative_l2_mean,per_head_relative_l2_worst,attention_js,attention_kl_eps1e8,net_qk_reduction,physical_key_byte_reduction,top128_recall,top512_recall,top2048_recall,tail_critical_block_recall
Aggressive,dim_had_even_w16_b64_r0.05,1,8,code_heldout_3,long-code,32768,32770,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3131473679095507e-05,0.0,-0.000244140625,1.0,1.0,1.0,1.0
Aggressive,dim_had_even_w16_b64_r0.1,1,8,code_heldout_3,long-code,32768,32770,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3131473679095507e-05,0.0,-0.000244140625,1.0,1.0,1.0,1.0
Aggressive,dim_had_random_w32_b64_r0.05,1,8,code_heldout_3,long-code,32768,32770,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3131473679095507e-05,0.0,-0.000244140625,1.0,1.0,1.0,1.0
Aggressive,dim_had_random_w32_b64_r0.1,1,8,code_heldout_3,long-code,32768,32770,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3131473679095507e-05,0.0,-0.000244140625,1.0,1.0,1.0,1.0
Aggressive,head_dynamic_abs_w16_b64_r0.05,1,8,code_heldout_3,long-code,32768,32770,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3131473679095507e-05,0.0,-0.000244140625,1.0,1.0,1.0,1.0
Aggressive,head_dynamic_abs_w16_b64_r0.1,1,8,code_heldout_3,long-code,32768,32770,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3131473679095507e-05,0.0,-0.000244140625,1.0,1.0,1.0,1.0
Aggressive,head_dynamic_abs_w8_b64_r0.05,1,8,code_heldout_3,long-code,32768,32770,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3131473679095507e-05,0.0,-0.000244140625,1.0,1.0,1.0,1.0
Aggressive,head_dynamic_abs_w8_b64_r0.1,1,8,code_heldout_3,long-code,32768,32770,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3131473679095507e-05,0.0,-0.000244140625,1.0,1.0,1.0,1.0
Balanced,dim_had_even_w16_b64_r0.05,1,8,code_heldout_3,long-code,32768,32770,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3131473679095507e-05,0.0,-0.000244140625,1.0,1.0,1.0,1.0
Balanced,dim_had_even_w16_b64_r0.1,1,8,code_heldout_3,long-code,32768,32770,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3131473679095507e-05,0.0,-0.000244140625,1.0,1.0,1.0,1.0
