policy_role,verifier,observations,output_cosine_p50,output_cosine_p5,output_cosine_p1,output_relative_l2_p50,output_relative_l2_p90,output_relative_l2_p95,output_relative_l2_p99,output_relative_l2_max,output_max_abs_p95,output_norm_ratio_p5,output_norm_ratio_p95,per_head_relative_l2_mean,per_head_relative_l2_worst_p95,attention_js_mean,attention_kl_mean,net_qk_reduction_median,physical_key_byte_reduction_median,top128_recall,top512_recall,top2048_recall,tail_critical_block_recall
Aggressive,dim_had_even_w16_b64_r0.05,1152,0.9996536374092102,0.9754875242710114,0.8837723338603973,0.02667802758514881,0.14650450497865677,0.22263321951031692,0.4747186243534089,1.5233765840530396,0.2469726562500001,0.9788616985082627,1.0129708230495453,0.04077388412005058,0.6325642079114917,0.007852721769041912,0.20966238656763014,0.3522457240457352,0.3518513759442008,0.9963107638888888,0.9884219699435763,0.9621882968478732,0.06727430555555555
Aggressive,dim_had_even_w16_b64_r0.1,1152,0.9997332394123077,0.9791927665472031,0.8978671646118164,0.023195482790470123,0.13360994607210164,0.2032682284712792,0.46118116259574893,1.5233488082885742,0.22163085937500004,0.9799099355936051,1.012491476535797,0.03556561078393846,0.5757747858762744,0.006655016708019663,0.1800627828660723,0.3139453445369149,0.3135960153204191,0.9973958333333334,0.9912245008680556,0.9699796040852865,0.08897569444444445
Aggressive,dim_had_random_w32_b64_r0.05,1152,0.9996702671051025,0.9801845222711563,0.9082815212011337,0.025864417664706707,0.1396572008728982,0.19810118079185499,0.43606095999479305,1.5226781368255615,0.23613281250000018,0.9773479193449021,1.011516410112381,0.03779503264003904,0.5674716770648957,0.006710390043764318,0.17394162638460664,0.29994971198683373,0.2994634617141812,0.9966973198784722,0.9892527262369791,0.9642223782009549,0.07530381944444445
Aggressive,dim_had_random_w32_b64_r0.1,1152,0.9997861683368683,0.9861065179109574,0.9337650394439697,0.020862353965640068,0.12610555291175848,0.16883433386683486,0.3671882891654969,1.522574782371521,0.2109375,0.9800543397665024,1.0085399746894836,0.03200568682247664,0.524594283103943,0.00530946728022117,0.13989277547381068,0.2619632010585561,0.2614517658077485,0.9977281358506944,0.9924435085720487,0.973923577202691,0.10850694444444445
Aggressive,head_dynamic_abs_w16_b64_r0.05,1152,0.9999774098396301,0.9942748665809631,0.9791636770963669,0.006840838817879558,0.06568145751953128,0.10812909863889224,0.20449872732162477,0.48722484707832336,0.1171875,0.9902928709983826,1.0056012928485871,0.01658858408960035,0.3528822302818299,0.002569149239347305,0.06925850039223796,0.2629067911907138,-0.0197373180129143,0.9999457465277778,0.9991302490234375,0.9883918762207031,0.21108217592592593
Aggressive,head_dynamic_abs_w16_b64_r0.1,1152,0.9999969005584717,0.9980745494365693,0.990446702837944,0.002510973485186696,0.03737682253122332,0.06261058785021306,0.13890427425503732,0.34530287981033325,0.06977539062500004,0.996341097354889,1.0026206433773042,0.008601156267433088,0.21798909232020386,0.0012189176671043122,0.03323024504965962,0.22683272869152832,-0.0353318599232457,0.9999932183159722,0.9998491075303819,0.9949824015299479,0.24696180555555555
Aggressive,head_dynamic_abs_w8_b64_r0.05,1152,0.9999472796916962,0.9919030010700226,0.9623048835992813,0.010313519276678562,0.07376947253942492,0.13003745377063755,0.2736348143219948,1.52330482006073,0.12426147460937506,0.987242242693901,1.0058571755886079,0.020551299170273506,0.39460716992616673,0.003268662278309025,0.08802054369612072,0.31852691681254297,-0.0197373180129143,0.9997897677951388,0.9980434841579862,0.9853939480251737,0.16825810185185186
Aggressive,head_dynamic_abs_w8_b64_r0.1,1152,0.9999875426292419,0.9966465711593628,0.9838235050439834,0.00505876075476408,0.04898240566253663,0.0835235241800547,0.18051628082990648,0.4773649573326111,0.0752624511718751,0.994213655591011,1.0044604659080505,0.012254976243268276,0.2917331814765932,0.0017928556446335795,0.049207533955217625,0.27549185000785253,-0.0372811776620369,0.9999593098958334,0.9993252224392362,0.9923515319824219,0.21238425925925924
Balanced,dim_had_even_w16_b64_r0.05,1152,0.9998672008514404,0.9868693202733994,0.9382064616680146,0.016452061012387276,0.11458418667316438,0.16231552287936216,0.3550568261742593,1.5231927633285522,0.1640625,0.9843961089849472,1.0097107887268066,0.02907791002540547,0.504013839364052,0.005051762311456136,0.12983038638426964,0.3334348915410056,0.3330891927083333,0.9980197482638888,0.9928470187717013,0.9723485310872396,0.20319733796296297
Balanced,dim_had_even_w16_b64_r0.1,1152,0.9999004602432251,0.9886107474565506,0.9427294969558716,0.014194749761372805,0.10588273704051994,0.15188227370381363,0.3379916122555734,1.5225598812103271,0.1524978637695313,0.9851868927478791,1.0094433844089508,0.02652211462493881,0.48880217075347904,0.004457086112172375,0.11468078293550432,0.3039163377080214,0.3033620971917641,0.9984334309895834,0.9940745035807291,0.9763615926106771,0.23878761574074073
