policy_role,policy,verifier,path,width,rescue_fraction,observations,net_qk_reduction_mean,net_qk_reduction_median,physical_key_byte_reduction_median,exact_match,recall_mean,top128_recall,top256_recall,top512_recall,top1024_recall,top2048_recall,index_mass_ratio_mean,newly_active_token_recall,newly_active_block_recall,tail_critical_block_recall,detector_ap_mean,rescue_precision_mean,rescue_block_fraction_mean,verifier_key_bytes,sketch_bytes,rescue_reread_key_bytes
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w8_b64_r0.05,head,8,0.05,1152,0.30115551481525027,0.31493951703574924,-0.01973731801291434,0.1440972222222222,0.984954833984375,0.9997355143229166,0.9993387858072916,0.9979994032118056,0.994126213921441,0.984954833984375,0.9976187180056458,0.34978293125240423,0.2702404809619238,0.23496715512885297,0.7113839940372934,0.7643039676798102,0.01907971992947475,3540582400.0,0.0,184745984.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w8_b64_r0.05,head,8,0.05,1152,0.3296480199184279,0.31852691681254297,-0.01973731801291434,0.041666666666666664,0.9853939480251737,0.9997897677951388,0.9993726942274306,0.9980434841579862,0.9943330552842882,0.9853939480251737,0.9977115982357875,0.3543189057522953,0.2788215342666179,0.14964476021314388,0.6500914938068624,0.6856227473931978,0.020974832231799308,3876634624.0,0.0,203096064.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1152,0.27010883874802233,0.2779729715850303,-0.03728117766203698,0.1736111111111111,0.9914872911241319,0.99993896484375,0.9998135036892362,0.9992387559678819,0.9972763061523438,0.9914872911241319,0.9988262401713723,0.5545105693942284,0.47131807295143113,0.3218797372410308,0.6932406135958679,0.6417191565654105,0.03566026051025899,3380822016.0,0.0,345292800.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1152,0.2885747944936793,0.27549185000785253,-0.03728117766203698,0.11024305555555555,0.9923515319824219,0.9999593098958334,0.9998440212673612,0.9993252224392362,0.9975975884331597,0.9923515319824219,0.9989581208044134,0.5622907873671955,0.48456880350803927,0.19449378330373002,0.6269645754465603,0.5283117983055805,0.0381594398589495,3612688384.0,0.0,369491968.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w16_b64_r0.05,head,16,0.05,1152,0.251861476131327,0.2621747013141301,-0.01973731801291434,0.15625,0.9875657823350694,0.9999321831597222,0.9998338487413194,0.999053955078125,0.9961064656575521,0.9875657823350694,0.9982969332379584,0.42528015045842804,0.3299071032460881,0.28954017180394137,0.8503544544728208,0.8701415457159941,0.018829294375239003,3491643392.0,0.0,182321152.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w16_b64_r0.05,head,16,0.05,1152,0.27471602378402005,0.26290679119071386,-0.01973731801291434,0.07725694444444445,0.9883918762207031,0.9999457465277778,0.9998406304253472,0.9991302490234375,0.9963870578342013,0.9883918762207031,0.9984297915244116,0.4352613671512527,0.34663458084907695,0.1933836589698046,0.8129590176427232,0.8018785211531841,0.020597501835890042,3809329152.0,0.0,199442432.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w16_b64_r0.1,head,16,0.1,1152,0.22165300770618546,0.2269469187581022,-0.03533185992324572,0.2690972222222222,0.9942287868923612,0.9999932183159722,0.9999728732638888,0.9997999403211806,0.9987894694010416,0.9942287868923612,0.9993559050817318,0.6698591276095337,0.5868650371944739,0.3756947953511875,0.8382128659719241,0.7315363143144299,0.03493436481588646,3309928448.0,0.0,338264064.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w16_b64_r0.1,head,16,0.1,1152,0.23675923258502848,0.22683272869152832,-0.03533185992324572,0.2595486111111111,0.9949824015299479,0.9999932183159722,0.9999864366319444,0.9998491075303819,0.9989446004231771,0.9949824015299479,0.9994451337241522,0.6813287390976634,0.6035554336897907,0.22979573712255771,0.7987420406903337,0.613086062043613,0.03739801080890838,3536633856.0,0.0,362119168.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_even_w16_b64_r0.05,dim,16,0.05,1152,0.3193637048893815,0.3334348915410056,0.33308919270833337,0.140625,0.9723485310872396,0.9980197482638888,0.9963921440972222,0.9928470187717013,0.9858347574869791,0.9723485310872396,0.9943872021750653,0.09129150880320927,0.08094380693880841,0.07276402223345124,0.35218844278935624,0.36157746815298897,0.020194790471646074,0.0,469278720.0,195543040.0
Aggressive,streak2_bucket8_m0,dim_had_even_w16_b64_r0.05,dim,16,0.05,1152,0.37064966746962935,0.35224572404573523,0.3518513759442008,0.019965277777777776,0.9621882968478732,0.9963107638888888,0.99365234375,0.9884219699435763,0.9790751139322916,0.9621882968478732,0.9916566133886948,0.07496007797756071,0.06739580254212238,0.048179396092362346,0.25699438883208425,0.24656714064951457,0.02341309725648653,0.0,544622592.0,226705408.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_even_w16_b64_r0.1,dim,16,0.1,1152,0.2934098948653108,0.30391633770802146,0.3033620971917641,0.140625,0.9763615926106771,0.9984334309895834,0.9970533582899306,0.9940745035807291,0.9880989922417535,0.9763615926106771,0.9952901989556973,0.15604854574619412,0.1435066616788006,0.11419909044972208,0.3397370350549792,0.33320574435760425,0.03868736400031134,0.0,458991616.0,374603776.0
Aggressive,streak2_bucket8_m0,dim_had_even_w16_b64_r0.1,dim,16,0.1,1152,0.33114545289975217,0.3139453445369149,0.31359601532041914,0.021701388888888888,0.9699796040852865,0.9973958333333334,0.9953070746527778,0.9912245008680556,0.9837714301215278,0.9699796040852865,0.99357183811207,0.12739167395616446,0.12054135484498008,0.07015985790408526,0.234152883816139,0.20908120915116574,0.04367726237491413,0.0,518055936.0,422920192.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_random_w32_b64_r0.05,dim,32,0.05,1152,0.2693774342917492,0.28019647949930043,0.27948295489156916,0.140625,0.9733412000868056,0.9981960720486112,0.9966600206163194,0.9931911892361112,0.9864366319444444,0.9733412000868056,0.9946307163734406,0.11160077404409792,0.09690059593458325,0.08413340070742799,0.38945804484360125,0.40359218958521964,0.020084806275529023,0.0,933445632.0,194478080.0
Aggressive,streak2_bucket8_m0,dim_had_random_w32_b64_r0.05,dim,32,0.05,1152,0.31078343172136424,0.29994971198683373,0.29946346171418126,0.020833333333333332,0.9642223782009549,0.9966973198784722,0.9942186143663194,0.9892527262369791,0.9804272121853299,0.9642223782009549,0.992242885431028,0.09412863137334865,0.08431508933617354,0.05550621669626998,0.2968333129581974,0.29691366469113345,0.023166055831362078,0.0,1076940800.0,224313344.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_random_w32_b64_r0.1,dim,32,0.1,1152,0.24334505168889034,0.2533715752648707,0.2526798359831871,0.14149305555555555,0.9785906473795573,0.9986436631944444,0.99749755859375,0.9946933322482638,0.9892968071831597,0.9785906473795573,0.9958114224456511,0.20513950304499032,0.17888641425389756,0.14123294593228902,0.372421993470341,0.3733167976617915,0.038272808184177845,0.0,908206080.0,370589696.0
Aggressive,streak2_bucket8_m0,dim_had_random_w32_b64_r0.1,dim,32,0.1,1152,0.27191073446787084,0.2619632010585561,0.26145176580774854,0.021701388888888888,0.973923577202691,0.9977281358506944,0.9960293240017362,0.9924435085720487,0.9860500759548612,0.973923577202691,0.9945641540225465,0.17527514511307427,0.15773739894460476,0.08947602131438721,0.26594725327692,0.2528034598745672,0.04283123009709067,0.0,1015054336.0,414728192.0
