policy_role,policy,verifier,path,width,rescue_fraction,observations,net_qk_reduction_mean,net_qk_reduction_median,physical_key_byte_reduction_median,exact_match,recall_mean,top128_recall,top256_recall,top512_recall,top1024_recall,top2048_recall,index_mass_ratio_mean,newly_active_token_recall,newly_active_block_recall,tail_critical_block_recall,detector_ap_mean,rescue_precision_mean,rescue_block_fraction_mean,verifier_key_bytes,sketch_bytes,rescue_reread_key_bytes
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w2_b64_r0.01,head,2,0.01,1152,0.3772455504869985,0.39391438108137306,0.5812387251833153,0.140625,0.9692921108669705,0.9980061848958334,0.9961649576822916,0.9922926161024306,0.9844351874457465,0.9692921108669705,0.9937871494820166,0.055485300827846945,0.0424185191802149,,0.5171975822883818,0.6468460648148149,0.004810539531704214,3815145472.0,0.0,46579712.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w2_b64_r0.01,head,2,0.01,1152,0.4456670755175403,0.43438776172480886,0.53946438596225,0.019965277777777776,0.9586902194552951,0.9966159396701388,0.993804931640625,0.9881574842664931,0.9777815077039931,0.9586902194552951,0.9911667344671637,0.054391275662669304,0.03975823226971231,,0.46866736244797225,0.6066984953703703,0.005719178198086613,4507631616.0,0.0,55377920.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w2_b64_r0.02,head,2,0.02,1152,0.3685422183906348,0.385252034179832,0.5822519468299215,0.140625,0.9719725714789497,0.9982367621527778,0.9966769748263888,0.9931606716579862,0.985978020562066,0.9719725714789497,0.9944065316444168,0.09384292820632288,0.07428799574128293,,0.5107838317302262,0.6151651372354497,0.008619376846465446,3766304768.0,0.0,83460096.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w2_b64_r0.02,head,2,0.02,1152,0.42572479817355624,0.4126751639193493,0.5539432682591876,0.019965277777777776,0.9653811984592013,0.9974229600694444,0.9952189127604166,0.9905954996744791,0.9819115532769097,0.9653811984592013,0.9928405739030919,0.09164108723697674,0.07169662255579695,,0.44992828681921715,0.5632760830026454,0.009925650683424873,4350509056.0,0.0,96108544.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w2_b64_r0.05,head,2,0.05,1152,0.34592347680571733,0.36027800240215957,0.5842472434763754,0.140625,0.9781684875488281,0.9988945855034722,0.9977484809027778,0.9950883653428819,0.9894544813368056,0.9781684875488281,0.9958245623718985,0.19930667827384654,0.16232269503546098,,0.4957255251636998,0.5514718333307488,0.01967532665306247,3650945024.0,0.0,190513152.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w2_b64_r0.05,head,2,0.05,1152,0.3834947432842202,0.3716166912878725,0.572542791573825,0.024305555555555556,0.9770147535536025,0.9987657335069444,0.9974839952256944,0.9945644802517362,0.9887254503038194,0.9770147535536025,0.9955893175871632,0.19678589942975636,0.1613707510319417,,0.41155177278857263,0.46258994805065573,0.021795483541288067,4047405056.0,0.0,211042304.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w2_b64_r0.1,head,2,0.1,1152,0.3152543042721456,0.3274583112655373,0.5824810370190698,0.14322916666666666,0.9846890767415365,0.99945068359375,0.9987148708767362,0.9969431559244791,0.99298095703125,0.9846890767415365,0.9972562239656051,0.34172209567198175,0.28981030720161155,,0.4794873533787436,0.48420490894671864,0.037115436028115345,3519004672.0,0.0,359383040.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w2_b64_r0.1,head,2,0.1,1152,0.33875540938472687,0.32745332963122226,0.5824873887491119,0.034722222222222224,0.9854791429307725,0.9994371202256944,0.9987284342447916,0.9970194498697916,0.9933302137586806,0.9854791429307725,0.9973978066848159,0.3406151358842097,0.2925022396802426,,0.3875900338297628,0.3717950270925609,0.03992764731960054,3781853184.0,0.0,386613248.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w2_b64_r0.01,head,2,0.01,1152,0.378962830444073,0.3988835167104003,0.5761018980756599,0.140625,0.9683481852213541,0.9976467556423612,0.9957444932725694,0.9916890462239584,0.9836315578884549,0.9683481852213541,0.9935093483694892,0.04064748201438849,0.03104263020309672,,0.4108597776285024,0.500144675925926,0.00483422843548327,3832528896.0,0.0,46809088.0
Aggressive,streak2_bucket8_m0,head_dynamic_pos_w2_b64_r0.01,head,2,0.01,1152,0.4514451574336452,0.4428966646655378,0.5306808153247796,0.019965277777777776,0.9561653137207031,0.9958157009548612,0.9927910698784722,0.9868655734592013,0.9758546617296007,0.9561653137207031,0.990497440635692,0.03925867434623066,0.029263161848950996,,0.34883290471672773,0.4441550925925926,0.005807165554980254,4566220800.0,0.0,56229888.0
