policy_role,verifier,path,width,layer,workload,base_context_length,observations,tail_critical_blocks,tail_critical_block_recall,newly_active_token_recall,rescue_precision_mean
Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,8,long-code,32768,165,660,0.3803030303,0.6775625504,0.473314468
Aggressive,head_dynamic_abs_w8_b64_r0.1,head,8,8,long-code,32768,189,754,0.1896551724,0.701314041,0.420109699
Balanced,head_dynamic_abs_w16_b64_r0.1,head,16,8,long-code,32768,165,660,0.4348484848,0.7972310355,0.5390213089
Aggressive,head_dynamic_abs_w16_b64_r0.1,head,16,8,long-code,32768,189,754,0.2320954907,0.8272005187,0.4724906124
Balanced,dim_had_even_w16_b64_r0.1,dim,16,8,long-code,32768,165,660,0.1515151515,0.1745454545,0.164454951
Aggressive,dim_had_even_w16_b64_r0.1,dim,16,8,long-code,32768,189,754,0.06100795756,0.1382012688,0.1457165809
Balanced,dim_had_random_w32_b64_r0.1,dim,32,8,long-code,32768,165,660,0.2045454545,0.2766780637,0.2336543134
Aggressive,dim_had_random_w32_b64_r0.1,dim,32,8,long-code,32768,189,754,0.1167108753,0.2436651761,0.2100687166
Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,8,long-text,32768,165,660,0.3560606061,0.6168855074,0.5059402817
Aggressive,head_dynamic_abs_w8_b64_r0.1,head,8,8,long-text,32768,188,752,0.1968085106,0.6422916367,0.4389250338
Balanced,head_dynamic_abs_w16_b64_r0.1,head,16,8,long-text,32768,165,660,0.3909090909,0.7341889389,0.5767875923
Aggressive,head_dynamic_abs_w16_b64_r0.1,head,16,8,long-text,32768,188,752,0.2220744681,0.7689102564,0.4893686019
Balanced,dim_had_even_w16_b64_r0.1,dim,16,8,long-text,32768,165,660,0.1151515152,0.1328143246,0.1558077181
Aggressive,dim_had_even_w16_b64_r0.1,dim,16,8,long-text,32768,188,752,0.06382978723,0.09786962327,0.1306030631
Balanced,dim_had_random_w32_b64_r0.1,dim,32,8,long-text,32768,165,660,0.1984848485,0.2167634855,0.2443380937
Aggressive,dim_had_random_w32_b64_r0.1,dim,32,8,long-text,32768,188,752,0.1223404255,0.1687709353,0.2114230748
Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,17,long-code,32768,165,659,0.2974203338,0.5457640435,0.575262783
Aggressive,head_dynamic_abs_w8_b64_r0.1,head,8,17,long-code,32768,188,752,0.1888297872,0.5487270736,0.5197086883
Balanced,head_dynamic_abs_w16_b64_r0.1,head,16,17,long-code,32768,165,659,0.3702579666,0.6657581409,0.6951176711
